"local_authority_name","hour","count_date","cars_and_taxis","buses_and_coaches","lgvs"
"Southwark","18:00:00","2018-03-16",782,29,96
"Bexley","07:00:00","2018-03-19",308,26,58
"Enfield","07:00:00","2018-03-19",709,2,119
"Haringey","07:00:00","2018-03-19",38,0,9
"Harrow","07:00:00","2018-03-19",51,0,1
"Bexley","08:00:00","2018-03-19",392,20,55
"Enfield","08:00:00","2018-03-19",1121,2,96
"Haringey","08:00:00","2018-03-19",77,0,17
"Harrow","08:00:00","2018-03-19",165,0,9
"Bexley","09:00:00","2018-03-19",285,29,50
"Enfield","09:00:00","2018-03-19",607,1,110
"Haringey","09:00:00","2018-03-19",41,0,15
"Harrow","09:00:00","2018-03-19",68,0,7
"Bexley","10:00:00","2018-03-19",272,22,48
"Enfield","10:00:00","2018-03-19",468,0,79
"Haringey","10:00:00","2018-03-19",36,0,13
"Harrow","10:00:00","2018-03-19",52,0,3
"Bexley","11:00:00","2018-03-19",297,23,54
"Enfield","11:00:00","2018-03-19",482,1,78
"Haringey","11:00:00","2018-03-19",36,0,14
"Harrow","11:00:00","2018-03-19",70,0,6
"Bexley","12:00:00","2018-03-19",330,20,66
"Enfield","12:00:00","2018-03-19",499,3,77
"Haringey","12:00:00","2018-03-19",32,0,16
"Harrow","12:00:00","2018-03-19",55,0,7
"Bexley","13:00:00","2018-03-19",348,20,43
"Enfield","13:00:00","2018-03-19",442,1,88
"Haringey","13:00:00","2018-03-19",46,1,15
"Harrow","13:00:00","2018-03-19",53,0,15
"Bexley","14:00:00","2018-03-19",356,23,71
"Enfield","14:00:00","2018-03-19",612,4,77
"Haringey","14:00:00","2018-03-19",46,1,11
"Harrow","14:00:00","2018-03-19",73,0,10
"Bexley","15:00:00","2018-03-19",392,22,56
"Enfield","15:00:00","2018-03-19",797,3,77
"Haringey","15:00:00","2018-03-19",45,1,12
"Harrow","15:00:00","2018-03-19",128,0,13
"Bexley","16:00:00","2018-03-19",385,24,63
"Enfield","16:00:00","2018-03-19",782,0,93
"Haringey","16:00:00","2018-03-19",61,0,16
"Harrow","16:00:00","2018-03-19",133,0,11
"Bexley","17:00:00","2018-03-19",451,22,58
"Enfield","17:00:00","2018-03-19",923,0,97
"Haringey","17:00:00","2018-03-19",62,0,13
"Harrow","17:00:00","2018-03-19",109,0,8
"Bexley","18:00:00","2018-03-19",405,19,49
"Enfield","18:00:00","2018-03-19",866,1,54
"Haringey","18:00:00","2018-03-19",63,0,14
"Harrow","18:00:00","2018-03-19",84,0,11
"Hillingdon","07:00:00","2018-03-20",37,1,10
"Hillingdon","08:00:00","2018-03-20",115,1,6
"Hillingdon","09:00:00","2018-03-20",25,0,9
"Hillingdon","10:00:00","2018-03-20",19,0,1
"Hillingdon","11:00:00","2018-03-20",30,0,9
"Hillingdon","12:00:00","2018-03-20",33,0,0
"Hillingdon","13:00:00","2018-03-20",22,0,4
"Hillingdon","14:00:00","2018-03-20",22,0,5
"Hillingdon","15:00:00","2018-03-20",81,1,7
"Hillingdon","16:00:00","2018-03-20",45,0,4
"Hillingdon","17:00:00","2018-03-20",55,0,4
"Hillingdon","18:00:00","2018-03-20",42,1,5
"Hackney","07:00:00","2018-03-21",25,0,6
"Hammersmith and Fulham","07:00:00","2018-03-21",37,0,3
"Lewisham","07:00:00","2018-03-21",694,14,224
"Sutton","07:00:00","2018-03-21",624,51,150
"Hackney","08:00:00","2018-03-21",35,1,10
"Hammersmith and Fulham","08:00:00","2018-03-21",81,0,13
"Lewisham","08:00:00","2018-03-21",791,10,171
"Sutton","08:00:00","2018-03-21",709,48,81
"Hackney","09:00:00","2018-03-21",25,0,11
"Hammersmith and Fulham","09:00:00","2018-03-21",47,0,7
"Lewisham","09:00:00","2018-03-21",698,17,168
"Sutton","09:00:00","2018-03-21",491,49,83
"Hackney","10:00:00","2018-03-21",27,0,9
"Hammersmith and Fulham","10:00:00","2018-03-21",34,0,11
"Lewisham","10:00:00","2018-03-21",636,10,170
"Sutton","10:00:00","2018-03-21",516,50,73
"Hackney","11:00:00","2018-03-21",32,0,12
"Hammersmith and Fulham","11:00:00","2018-03-21",28,0,13
"Lewisham","11:00:00","2018-03-21",662,15,218
"Sutton","11:00:00","2018-03-21",560,47,68
"Hackney","12:00:00","2018-03-21",27,0,12
"Hammersmith and Fulham","12:00:00","2018-03-21",24,0,6
"Lewisham","12:00:00","2018-03-21",747,12,203
"Sutton","12:00:00","2018-03-21",491,45,75
"Hackney","13:00:00","2018-03-21",30,0,14
"Hammersmith and Fulham","13:00:00","2018-03-21",32,0,8
"Lewisham","13:00:00","2018-03-21",637,10,208
"Sutton","13:00:00","2018-03-21",516,44,86
"Hackney","14:00:00","2018-03-21",26,0,10
"Hammersmith and Fulham","14:00:00","2018-03-21",32,0,15
"Lewisham","14:00:00","2018-03-21",733,15,197
"Sutton","14:00:00","2018-03-21",494,41,91
"Hackney","15:00:00","2018-03-21",34,0,13
"Hammersmith and Fulham","15:00:00","2018-03-21",57,0,9
"Lewisham","15:00:00","2018-03-21",828,16,189
"Sutton","15:00:00","2018-03-21",595,51,103
"Hackney","16:00:00","2018-03-21",45,2,11
"Hammersmith and Fulham","16:00:00","2018-03-21",52,0,12
"Lewisham","16:00:00","2018-03-21",804,15,194
"Sutton","16:00:00","2018-03-21",694,42,118
"Hackney","17:00:00","2018-03-21",28,0,13
"Hammersmith and Fulham","17:00:00","2018-03-21",45,0,5
"Lewisham","17:00:00","2018-03-21",957,16,168
"Sutton","17:00:00","2018-03-21",704,35,72
"Hackney","18:00:00","2018-03-21",33,1,10
"Hammersmith and Fulham","18:00:00","2018-03-21",61,0,4
"Lewisham","18:00:00","2018-03-21",975,14,147
"Sutton","18:00:00","2018-03-21",721,51,73
"Sutton","07:00:00","2018-03-22",241,6,39
"Sutton","08:00:00","2018-03-22",353,7,40
"Sutton","09:00:00","2018-03-22",260,9,40
"Sutton","10:00:00","2018-03-22",320,10,38
"Sutton","11:00:00","2018-03-22",257,7,29
"Sutton","12:00:00","2018-03-22",284,10,31
"Sutton","13:00:00","2018-03-22",346,9,34
"Sutton","14:00:00","2018-03-22",257,6,35
"Sutton","15:00:00","2018-03-22",250,9,39
"Sutton","16:00:00","2018-03-22",380,9,41
"Sutton","17:00:00","2018-03-22",347,8,43
"Sutton","18:00:00","2018-03-22",401,10,35
"Croydon","07:00:00","2018-03-23",182,0,33
"Ealing","07:00:00","2018-03-23",42,0,9
"Hillingdon","07:00:00","2018-03-23",65,0,11
"Lambeth","07:00:00","2018-03-23",38,0,9
"Croydon","08:00:00","2018-03-23",203,0,18
"Ealing","08:00:00","2018-03-23",83,0,13
"Hillingdon","08:00:00","2018-03-23",122,0,16
"Lambeth","08:00:00","2018-03-23",79,0,8
"Croydon","09:00:00","2018-03-23",97,0,18
"Ealing","09:00:00","2018-03-23",59,0,2
"Hillingdon","09:00:00","2018-03-23",57,0,17
