"local_authority_name","hour","count_date","cars_and_taxis","buses_and_coaches","lgvs"
"Croydon","18:00:00","2018-07-13",126,11,24
"Enfield","18:00:00","2018-07-13",822,4,233
"Haringey","18:00:00","2018-07-13",774,27,118
"Havering","18:00:00","2018-07-13",5651,23,865
"Hillingdon","18:00:00","2018-07-13",1162,10,97
"Lambeth","18:00:00","2018-07-13",478,38,82
"Tower Hamlets","18:00:00","2018-07-13",4775,32,714
"Barking and Dagenham","07:00:00","2018-09-05",43,1,6
"Hackney","07:00:00","2018-09-05",1818,56,837
"Kensington and Chelsea","07:00:00","2018-09-05",460,7,182
"Lambeth","07:00:00","2018-09-05",571,72,331
"Lewisham","07:00:00","2018-09-05",708,115,244
"Merton","07:00:00","2018-09-05",1344,25,470
"Wandsworth","07:00:00","2018-09-05",563,19,137
"Barking and Dagenham","08:00:00","2018-09-05",57,0,15
"Hackney","08:00:00","2018-09-05",1698,59,714
"Kensington and Chelsea","08:00:00","2018-09-05",674,1,185
"Lambeth","08:00:00","2018-09-05",609,59,265
"Lewisham","08:00:00","2018-09-05",786,116,209
"Merton","08:00:00","2018-09-05",1557,22,323
"Wandsworth","08:00:00","2018-09-05",757,29,172
"Barking and Dagenham","09:00:00","2018-09-05",46,0,6
"Hackney","09:00:00","2018-09-05",1447,51,608
"Kensington and Chelsea","09:00:00","2018-09-05",542,0,151
"Lambeth","09:00:00","2018-09-05",695,72,274
"Lewisham","09:00:00","2018-09-05",799,132,183
"Merton","09:00:00","2018-09-05",1099,28,296
"Wandsworth","09:00:00","2018-09-05",609,33,281
"Barking and Dagenham","10:00:00","2018-09-05",45,1,3
"Hackney","10:00:00","2018-09-05",1483,58,660
"Kensington and Chelsea","10:00:00","2018-09-05",457,1,145
"Lambeth","10:00:00","2018-09-05",657,69,304
"Lewisham","10:00:00","2018-09-05",897,139,242
"Merton","10:00:00","2018-09-05",1277,30,346
"Wandsworth","10:00:00","2018-09-05",460,23,206
"Barking and Dagenham","11:00:00","2018-09-05",46,0,4
"Hackney","11:00:00","2018-09-05",1365,47,533
"Kensington and Chelsea","11:00:00","2018-09-05",459,1,153
"Lambeth","11:00:00","2018-09-05",726,72,338
"Lewisham","11:00:00","2018-09-05",885,132,300
"Merton","11:00:00","2018-09-05",1050,23,326
"Wandsworth","11:00:00","2018-09-05",474,20,231
"Barking and Dagenham","12:00:00","2018-09-05",33,0,7
"Hackney","12:00:00","2018-09-05",1250,48,511
"Kensington and Chelsea","12:00:00","2018-09-05",431,1,122
"Lambeth","12:00:00","2018-09-05",662,62,317
"Lewisham","12:00:00","2018-09-05",743,134,251
"Merton","12:00:00","2018-09-05",1197,21,266
"Wandsworth","12:00:00","2018-09-05",473,23,229
"Barking and Dagenham","13:00:00","2018-09-05",28,0,9
"Hackney","13:00:00","2018-09-05",1482,49,469
"Kensington and Chelsea","13:00:00","2018-09-05",428,3,122
"Lambeth","13:00:00","2018-09-05",654,64,322
"Lewisham","13:00:00","2018-09-05",762,117,203
"Merton","13:00:00","2018-09-05",1320,24,323
"Wandsworth","13:00:00","2018-09-05",393,26,184
"Barking and Dagenham","14:00:00","2018-09-05",30,0,3
"Hackney","14:00:00","2018-09-05",1418,46,541
"Kensington and Chelsea","14:00:00","2018-09-05",451,2,143
"Lambeth","14:00:00","2018-09-05",708,63,330
"Lewisham","14:00:00","2018-09-05",963,143,250
"Merton","14:00:00","2018-09-05",1163,21,299
"Wandsworth","14:00:00","2018-09-05",408,18,174
"Barking and Dagenham","15:00:00","2018-09-05",42,0,5
"Hackney","15:00:00","2018-09-05",1529,50,508
"Kensington and Chelsea","15:00:00","2018-09-05",422,0,122
"Lambeth","15:00:00","2018-09-05",763,66,317
"Lewisham","15:00:00","2018-09-05",1071,132,245
"Merton","15:00:00","2018-09-05",1133,24,255
"Wandsworth","15:00:00","2018-09-05",462,22,141
"Barking and Dagenham","16:00:00","2018-09-05",47,1,7
"Hackney","16:00:00","2018-09-05",1755,62,484
"Kensington and Chelsea","16:00:00","2018-09-05",469,0,123
"Lambeth","16:00:00","2018-09-05",851,63,297
"Lewisham","16:00:00","2018-09-05",1161,120,288
"Merton","16:00:00","2018-09-05",1684,23,341
"Wandsworth","16:00:00","2018-09-05",506,33,162
"Barking and Dagenham","17:00:00","2018-09-05",50,0,3
"Hackney","17:00:00","2018-09-05",1679,55,405
"Kensington and Chelsea","17:00:00","2018-09-05",592,3,100
"Lambeth","17:00:00","2018-09-05",947,56,276
"Lewisham","17:00:00","2018-09-05",1103,115,210
"Merton","17:00:00","2018-09-05",2428,26,425
"Wandsworth","17:00:00","2018-09-05",565,19,142
"Barking and Dagenham","18:00:00","2018-09-05",53,0,4
"Hackney","18:00:00","2018-09-05",1756,48,322
"Kensington and Chelsea","18:00:00","2018-09-05",613,1,121
"Lambeth","18:00:00","2018-09-05",795,56,171
"Lewisham","18:00:00","2018-09-05",1069,111,256
"Merton","18:00:00","2018-09-05",2451,18,332
"Wandsworth","18:00:00","2018-09-05",608,23,107
"Barnet","07:00:00","2018-09-06",725,19,171
"Hackney","07:00:00","2018-09-06",402,10,120
"Harrow","07:00:00","2018-09-06",1658,49,316
"Hillingdon","07:00:00","2018-09-06",922,26,197
"Kingston upon Thames","07:00:00","2018-09-06",116,0,21
"Sutton","07:00:00","2018-09-06",374,11,78
"Wandsworth","07:00:00","2018-09-06",1470,10,655
"Barnet","08:00:00","2018-09-06",755,21,158
"Hackney","08:00:00","2018-09-06",594,15,147
"Harrow","08:00:00","2018-09-06",1938,45,212
"Hillingdon","08:00:00","2018-09-06",1175,20,203
"Kingston upon Thames","08:00:00","2018-09-06",206,0,14
"Sutton","08:00:00","2018-09-06",506,10,55
"Wandsworth","08:00:00","2018-09-06",1583,12,586
"Barnet","09:00:00","2018-09-06",537,15,125
"Hackney","09:00:00","2018-09-06",534,16,199
"Harrow","09:00:00","2018-09-06",1571,45,253
"Hillingdon","09:00:00","2018-09-06",740,24,140
"Kingston upon Thames","09:00:00","2018-09-06",103,1,16
"Sutton","09:00:00","2018-09-06",270,11,56
"Wandsworth","09:00:00","2018-09-06",1456,14,513
"Barnet","10:00:00","2018-09-06",528,14,111
"Hackney","10:00:00","2018-09-06",489,9,182
"Harrow","10:00:00","2018-09-06",1423,46,267
"Hillingdon","10:00:00","2018-09-06",608,16,159
"Kingston upon Thames","10:00:00","2018-09-06",84,0,16
"Sutton","10:00:00","2018-09-06",167,7,45
"Wandsworth","10:00:00","2018-09-06",1427,9,519
"Barnet","11:00:00","2018-09-06",491,15,101
"Hackney","11:00:00","2018-09-06",457,14,162
"Harrow","11:00:00","2018-09-06",1445,47,223
"Hillingdon","11:00:00","2018-09-06",621,14,140
"Kingston upon Thames","11:00:00","2018-09-06",96,0,26
"Sutton","11:00:00","2018-09-06",174,8,44
"Wandsworth","11:00:00","2018-09-06",1337,6,518
"Barnet","12:00:00","2018-09-06",525,13,99
"Hackney","12:00:00","2018-09-06",430,13,163
"Harrow","12:00:00","2018-09-06",1557,37,225
"Hillingdon","12:00:00","2018-09-06",630,12,170
"Kingston upon Thames","12:00:00","2018-09-06",105,0,22
"Sutton","12:00:00","2018-09-06",221,12,45
"Wandsworth","12:00:00","2018-09-06",1342,10,479
"Barnet","13:00:00","2018-09-06",529,11,93
"Hackney","13:00:00","2018-09-06",410,11,142
"Harrow","13:00:00","2018-09-06",1561,40,214
"Hillingdon","13:00:00","2018-09-06",627,14,117
"Kingston upon Thames","13:00:00","2018-09-06",87,0,18
"Sutton","13:00:00","2018-09-06",184,9,29
"Wandsworth","13:00:00","2018-09-06",1408,4,508
"Barnet","14:00:00","2018-09-06",548,14,96
"Hackney","14:00:00","2018-09-06",478,10,162
"Harrow","14:00:00","2018-09-06",1624,49,254
"Hillingdon","14:00:00","2018-09-06",815,19,168
"Kingston upon Thames","14:00:00","2018-09-06",94,0,18
"Sutton","14:00:00","2018-09-06",267,9,33
"Wandsworth","14:00:00","2018-09-06",1478,5,474
"Barnet","15:00:00","2018-09-06",732,12,119
"Hackney","15:00:00","2018-09-06",582,13,146
"Harrow","15:00:00","2018-09-06",2027,47,275
"Hillingdon","15:00:00","2018-09-06",843,17,163
"Kingston upon Thames","15:00:00","2018-09-06",168,0,23
"Sutton","15:00:00","2018-09-06",289,10,56
"Wandsworth","15:00:00","2018-09-06",1626,11,433
"Barnet","16:00:00","2018-09-06",750,16,111
"Hackney","16:00:00","2018-09-06",663,13,146
"Harrow","16:00:00","2018-09-06",2061,49,290
"Hillingdon","16:00:00","2018-09-06",908,25,152
"Kingston upon Thames","16:00:00","2018-09-06",122,1,22
"Sutton","16:00:00","2018-09-06",321,10,55
"Wandsworth","16:00:00","2018-09-06",1679,15,468
"Barnet","17:00:00","2018-09-06",835,22,127
"Hackney","17:00:00","2018-09-06",669,10,119
"Harrow","17:00:00","2018-09-06",2036,36,231
"Hillingdon","17:00:00","2018-09-06",1003,14,138
"Kingston upon Thames","17:00:00","2018-09-06",157,0,13
"Sutton","17:00:00","2018-09-06",323,6,45
"Wandsworth","17:00:00","2018-09-06",1783,5,418
"Barnet","18:00:00","2018-09-06",861,13,106
"Hackney","18:00:00","2018-09-06",566,10,110
"Harrow","18:00:00","2018-09-06",1988,43,126
"Hillingdon","18:00:00","2018-09-06",837,17,129
"Kingston upon Thames","18:00:00","2018-09-06",183,0,14
"Sutton","18:00:00","2018-09-06",343,9,48
"Wandsworth","18:00:00","2018-09-06",2035,6,333
"Barnet","07:00:00","2018-09-07",634,8,74
"Bexley","07:00:00","2018-09-07",237,40,37
"Croydon","07:00:00","2018-09-07",1052,6,300
"Hackney","07:00:00","2018-09-07",408,98,173
"Hounslow","07:00:00","2018-09-07",136,12,23
"Islington","07:00:00","2018-09-07",413,34,266
"Kensington and Chelsea","07:00:00","2018-09-07",133,15,42
"Lambeth","07:00:00","2018-09-07",28,0,15
"Merton","07:00:00","2018-09-07",899,34,281
"Tower Hamlets","07:00:00","2018-09-07",509,164,377
"Barnet","08:00:00","2018-09-07",842,17,67
"Bexley","08:00:00","2018-09-07",470,52,34
"Croydon","08:00:00","2018-09-07",969,4,180
"Hackney","08:00:00","2018-09-07",338,77,157
"Hounslow","08:00:00","2018-09-07",219,11,19
"Islington","08:00:00","2018-09-07",444,31,215
"Kensington and Chelsea","08:00:00","2018-09-07",197,16,48
"Lambeth","08:00:00","2018-09-07",22,2,10
"Merton","08:00:00","2018-09-07",894,38,173
"Tower Hamlets","08:00:00","2018-09-07",550,166,347
"Barnet","09:00:00","2018-09-07",549,11,73
"Bexley","09:00:00","2018-09-07",358,55,44
"Croydon","09:00:00","2018-09-07",719,0,201
"Hackney","09:00:00","2018-09-07",305,73,154
"Hounslow","09:00:00","2018-09-07",144,8,23
"Islington","09:00:00","2018-09-07",404,28,219
"Kensington and Chelsea","09:00:00","2018-09-07",232,13,60
"Lambeth","09:00:00","2018-09-07",37,0,18
"Merton","09:00:00","2018-09-07",703,38,191
"Tower Hamlets","09:00:00","2018-09-07",605,132,324
"Barnet","10:00:00","2018-09-07",412,8,53
"Bexley","10:00:00","2018-09-07",338,43,39
"Croydon","10:00:00","2018-09-07",730,6,234
"Hackney","10:00:00","2018-09-07",339,83,170
"Hounslow","10:00:00","2018-09-07",130,11,15
"Islington","10:00:00","2018-09-07",417,30,227
"Kensington and Chelsea","10:00:00","2018-09-07",234,17,60
"Lambeth","10:00:00","2018-09-07",43,0,23
"Merton","10:00:00","2018-09-07",595,29,181
"Tower Hamlets","10:00:00","2018-09-07",670,158,338
"Barnet","11:00:00","2018-09-07",414,14,49
"Bexley","11:00:00","2018-09-07",376,46,36
"Croydon","11:00:00","2018-09-07",819,1,235
"Hackney","11:00:00","2018-09-07",296,80,153
"Hounslow","11:00:00","2018-09-07",160,10,20
"Islington","11:00:00","2018-09-07",431,31,153
"Kensington and Chelsea","11:00:00","2018-09-07",231,15,50
"Lambeth","11:00:00","2018-09-07",40,0,19
"Merton","11:00:00","2018-09-07",600,33,140
"Tower Hamlets","11:00:00","2018-09-07",605,147,346
"Barnet","12:00:00","2018-09-07",411,6,52
"Bexley","12:00:00","2018-09-07",370,46,39
"Croydon","12:00:00","2018-09-07",767,2,206
"Hackney","12:00:00","2018-09-07",292,71,128
"Hounslow","12:00:00","2018-09-07",166,11,23
"Islington","12:00:00","2018-09-07",368,28,165
"Kensington and Chelsea","12:00:00","2018-09-07",223,14,49
"Lambeth","12:00:00","2018-09-07",37,2,19
"Merton","12:00:00","2018-09-07",651,29,174
"Tower Hamlets","12:00:00","2018-09-07",610,150,274
"Barnet","13:00:00","2018-09-07",382,9,45
"Bexley","13:00:00","2018-09-07",426,54,45
"Croydon","13:00:00","2018-09-07",841,2,232
"Hackney","13:00:00","2018-09-07",361,81,133
"Hounslow","13:00:00","2018-09-07",172,9,13
"Islington","13:00:00","2018-09-07",407,32,108
"Kensington and Chelsea","13:00:00","2018-09-07",229,14,42
"Lambeth","13:00:00","2018-09-07",40,0,17
"Merton","13:00:00","2018-09-07",683,28,170
"Tower Hamlets","13:00:00","2018-09-07",576,149,268
"Barnet","14:00:00","2018-09-07",443,10,46
"Bexley","14:00:00","2018-09-07",397,43,35
"Croydon","14:00:00","2018-09-07",946,4,248
"Hackney","14:00:00","2018-09-07",315,77,142
"Hounslow","14:00:00","2018-09-07",186,10,16
"Islington","14:00:00","2018-09-07",420,40,94
"Kensington and Chelsea","14:00:00","2018-09-07",233,10,47
"Lambeth","14:00:00","2018-09-07",27,0,11
"Merton","14:00:00","2018-09-07",763,37,132
"Tower Hamlets","14:00:00","2018-09-07",608,159,298
"Barnet","15:00:00","2018-09-07",671,9,61
"Bexley","15:00:00","2018-09-07",428,43,37
"Croydon","15:00:00","2018-09-07",1108,2,242
"Hackney","15:00:00","2018-09-07",357,68,138
"Hounslow","15:00:00","2018-09-07",220,11,27
"Islington","15:00:00","2018-09-07",410,34,107
"Kensington and Chelsea","15:00:00","2018-09-07",314,14,60
"Lambeth","15:00:00","2018-09-07",47,0,14
"Merton","15:00:00","2018-09-07",855,38,167
"Tower Hamlets","15:00:00","2018-09-07",678,139,307
"Barnet","16:00:00","2018-09-07",482,11,59
"Bexley","16:00:00","2018-09-07",491,45,42
"Croydon","16:00:00","2018-09-07",1361,7,197
"Hackney","16:00:00","2018-09-07",391,84,122
"Hounslow","16:00:00","2018-09-07",229,14,28
"Islington","16:00:00","2018-09-07",528,36,104
"Kensington and Chelsea","16:00:00","2018-09-07",224,15,36
"Lambeth","16:00:00","2018-09-07",44,2,13
"Merton","16:00:00","2018-09-07",858,30,172
"Tower Hamlets","16:00:00","2018-09-07",775,148,275
"Barnet","17:00:00","2018-09-07",551,12,47
"Bexley","17:00:00","2018-09-07",655,30,58
"Croydon","17:00:00","2018-09-07",1244,1,182
"Hackney","17:00:00","2018-09-07",447,71,105
"Hounslow","17:00:00","2018-09-07",248,12,28
"Islington","17:00:00","2018-09-07",535,34,68
"Kensington and Chelsea","17:00:00","2018-09-07",272,15,45
"Lambeth","17:00:00","2018-09-07",49,0,10
"Merton","17:00:00","2018-09-07",914,32,157
"Tower Hamlets","17:00:00","2018-09-07",830,155,267
"Barnet","18:00:00","2018-09-07",519,15,25
"Bexley","18:00:00","2018-09-07",473,37,39
"Croydon","18:00:00","2018-09-07",1159,1,168
"Hackney","18:00:00","2018-09-07",578,87,111
"Hounslow","18:00:00","2018-09-07",234,12,16
"Islington","18:00:00","2018-09-07",638,35,53
"Kensington and Chelsea","18:00:00","2018-09-07",245,13,46
"Lambeth","18:00:00","2018-09-07",45,0,4
"Merton","18:00:00","2018-09-07",888,32,132
"Tower Hamlets","18:00:00","2018-09-07",780,122,258
"Barnet","07:00:00","2018-09-10",6194,131,2069
"Brent","07:00:00","2018-09-10",78,0,10
"Ealing","07:00:00","2018-09-10",624,126,208
"Hackney","07:00:00","2018-09-10",981,212,516
"Hillingdon","07:00:00","2018-09-10",1514,72,164
"Islington","07:00:00","2018-09-10",22,0,16
"Kingston upon Thames","07:00:00","2018-09-10",128,1,24
"Westminster","07:00:00","2018-09-10",11,0,0
"Barnet","08:00:00","2018-09-10",6195,136,1574
"Brent","08:00:00","2018-09-10",140,1,11
"Ealing","08:00:00","2018-09-10",758,116,174
"Hackney","08:00:00","2018-09-10",1036,218,421
"Hillingdon","08:00:00","2018-09-10",1767,68,194
"Islington","08:00:00","2018-09-10",27,0,32
"Kingston upon Thames","08:00:00","2018-09-10",373,1,30
"Westminster","08:00:00","2018-09-10",22,2,3
"Barnet","09:00:00","2018-09-10",5260,129,1692
"Brent","09:00:00","2018-09-10",62,0,23
"Ealing","09:00:00","2018-09-10",616,132,205
"Hackney","09:00:00","2018-09-10",1000,229,447
"Hillingdon","09:00:00","2018-09-10",1257,63,152
"Islington","09:00:00","2018-09-10",60,0,43
"Kingston upon Thames","09:00:00","2018-09-10",152,5,26
"Westminster","09:00:00","2018-09-10",31,1,3
"Barnet","10:00:00","2018-09-10",5158,122,1733
"Brent","10:00:00","2018-09-10",68,1,7
"Ealing","10:00:00","2018-09-10",586,116,165
"Hackney","10:00:00","2018-09-10",929,226,467
"Hillingdon","10:00:00","2018-09-10",1042,69,171
"Islington","10:00:00","2018-09-10",55,0,57
"Kingston upon Thames","10:00:00","2018-09-10",154,0,27
"Westminster","10:00:00","2018-09-10",20,0,4
"Barnet","11:00:00","2018-09-10",5154,109,1768
"Brent","11:00:00","2018-09-10",66,0,12
"Ealing","11:00:00","2018-09-10",557,108,166
"Hackney","11:00:00","2018-09-10",965,211,540
"Hillingdon","11:00:00","2018-09-10",908,65,171
"Islington","11:00:00","2018-09-10",46,0,52
"Kingston upon Thames","11:00:00","2018-09-10",157,0,41
"Westminster","11:00:00","2018-09-10",22,0,4
"Barnet","12:00:00","2018-09-10",5345,109,1760
"Brent","12:00:00","2018-09-10",56,1,5
"Ealing","12:00:00","2018-09-10",582,119,165
"Hackney","12:00:00","2018-09-10",1006,208,462
"Hillingdon","12:00:00","2018-09-10",1017,61,154
"Islington","12:00:00","2018-09-10",52,0,37
"Kingston upon Thames","12:00:00","2018-09-10",161,0,33
"Westminster","12:00:00","2018-09-10",24,0,9
"Barnet","13:00:00","2018-09-10",5308,110,1725
"Brent","13:00:00","2018-09-10",78,0,7
"Ealing","13:00:00","2018-09-10",620,111,153
"Hackney","13:00:00","2018-09-10",1087,194,482
"Hillingdon","13:00:00","2018-09-10",961,61,144
"Islington","13:00:00","2018-09-10",33,0,23
"Kingston upon Thames","13:00:00","2018-09-10",160,2,18
"Westminster","13:00:00","2018-09-10",18,0,8
"Barnet","14:00:00","2018-09-10",5727,129,1851
"Brent","14:00:00","2018-09-10",101,0,7
"Ealing","14:00:00","2018-09-10",625,109,160
"Hackney","14:00:00","2018-09-10",1128,215,408
"Hillingdon","14:00:00","2018-09-10",1040,61,149
"Islington","14:00:00","2018-09-10",40,0,30
"Kingston upon Thames","14:00:00","2018-09-10",180,1,37
"Westminster","14:00:00","2018-09-10",29,0,5
"Barnet","15:00:00","2018-09-10",6054,128,1807
"Brent","15:00:00","2018-09-10",82,1,14
"Ealing","15:00:00","2018-09-10",651,109,148
"Hackney","15:00:00","2018-09-10",1087,238,397
"Hillingdon","15:00:00","2018-09-10",1060,64,201
"Islington","15:00:00","2018-09-10",34,0,27
"Kingston upon Thames","15:00:00","2018-09-10",294,2,31
"Westminster","15:00:00","2018-09-10",30,0,3
"Barnet","16:00:00","2018-09-10",6501,150,1855
"Brent","16:00:00","2018-09-10",77,0,16
"Ealing","16:00:00","2018-09-10",664,115,121
"Hackney","16:00:00","2018-09-10",1168,226,378
"Hillingdon","16:00:00","2018-09-10",1217,71,204
"Islington","16:00:00","2018-09-10",37,0,17
"Kingston upon Thames","16:00:00","2018-09-10",240,3,42
"Westminster","16:00:00","2018-09-10",31,0,5
"Barnet","17:00:00","2018-09-10",7335,138,1546
"Brent","17:00:00","2018-09-10",101,0,13
"Ealing","17:00:00","2018-09-10",793,116,118
"Hackney","17:00:00","2018-09-10",1370,213,319
"Hillingdon","17:00:00","2018-09-10",1249,86,198
"Islington","17:00:00","2018-09-10",33,0,20
"Kingston upon Thames","17:00:00","2018-09-10",290,0,30
"Westminster","17:00:00","2018-09-10",33,0,2
"Barnet","18:00:00","2018-09-10",7275,129,1040
"Brent","18:00:00","2018-09-10",82,0,7
"Ealing","18:00:00","2018-09-10",810,127,85
"Hackney","18:00:00","2018-09-10",1822,217,261
"Hillingdon","18:00:00","2018-09-10",1284,77,133
"Islington","18:00:00","2018-09-10",21,0,6
"Kingston upon Thames","18:00:00","2018-09-10",242,0,12
"Westminster","18:00:00","2018-09-10",21,0,5
"Brent","07:00:00","2018-09-11",2518,83,651
"Croydon","07:00:00","2018-09-11",260,0,12
"Harrow","07:00:00","2018-09-11",118,4,26
"Hillingdon","07:00:00","2018-09-11",1277,32,418
"Newham","07:00:00","2018-09-11",837,54,122
"Southwark","07:00:00","2018-09-11",379,4,83
"Brent","08:00:00","2018-09-11",3174,78,461
"Croydon","08:00:00","2018-09-11",296,0,14
"Harrow","08:00:00","2018-09-11",175,0,20
"Hillingdon","08:00:00","2018-09-11",2038,38,156
"Newham","08:00:00","2018-09-11",947,61,154
"Southwark","08:00:00","2018-09-11",470,7,47
"Brent","09:00:00","2018-09-11",2646,110,493
"Croydon","09:00:00","2018-09-11",99,0,9
"Harrow","09:00:00","2018-09-11",119,0,32
"Hillingdon","09:00:00","2018-09-11",1106,40,200
"Newham","09:00:00","2018-09-11",887,57,148
"Southwark","09:00:00","2018-09-11",303,2,49
"Brent","10:00:00","2018-09-11",2263,86,519
"Croydon","10:00:00","2018-09-11",80,0,9
"Harrow","10:00:00","2018-09-11",119,0,26
"Hillingdon","10:00:00","2018-09-11",866,39,165
"Newham","10:00:00","2018-09-11",637,56,118
"Southwark","10:00:00","2018-09-11",252,0,44
"Brent","11:00:00","2018-09-11",2403,67,440
"Croydon","11:00:00","2018-09-11",62,0,11
"Harrow","11:00:00","2018-09-11",88,1,25
"Hillingdon","11:00:00","2018-09-11",929,29,157
"Newham","11:00:00","2018-09-11",673,70,141
"Southwark","11:00:00","2018-09-11",211,0,40
"Brent","12:00:00","2018-09-11",2407,86,413
"Croydon","12:00:00","2018-09-11",60,0,8
"Harrow","12:00:00","2018-09-11",88,0,30
"Hillingdon","12:00:00","2018-09-11",983,26,152
"Newham","12:00:00","2018-09-11",692,53,137
"Southwark","12:00:00","2018-09-11",237,0,49
"Brent","13:00:00","2018-09-11",2443,65,458
"Croydon","13:00:00","2018-09-11",51,0,11
"Harrow","13:00:00","2018-09-11",95,0,23
"Hillingdon","13:00:00","2018-09-11",1094,33,158
"Newham","13:00:00","2018-09-11",739,56,143
"Southwark","13:00:00","2018-09-11",191,2,30
"Brent","14:00:00","2018-09-11",2627,107,453
"Croydon","14:00:00","2018-09-11",61,0,10
"Harrow","14:00:00","2018-09-11",147,0,31
"Hillingdon","14:00:00","2018-09-11",1086,37,184
"Newham","14:00:00","2018-09-11",840,70,135
"Southwark","14:00:00","2018-09-11",301,1,43
"Brent","15:00:00","2018-09-11",2827,78,485
"Croydon","15:00:00","2018-09-11",225,0,11
"Harrow","15:00:00","2018-09-11",154,2,31
"Hillingdon","15:00:00","2018-09-11",1275,29,164
"Newham","15:00:00","2018-09-11",858,62,129
"Southwark","15:00:00","2018-09-11",343,1,49
"Brent","16:00:00","2018-09-11",2928,136,485
"Croydon","16:00:00","2018-09-11",107,0,11
"Harrow","16:00:00","2018-09-11",156,4,25
"Hillingdon","16:00:00","2018-09-11",1364,35,191
"Newham","16:00:00","2018-09-11",927,56,123
"Southwark","16:00:00","2018-09-11",388,6,51
"Brent","17:00:00","2018-09-11",2904,66,559
"Croydon","17:00:00","2018-09-11",135,0,11
"Harrow","17:00:00","2018-09-11",182,1,25
"Hillingdon","17:00:00","2018-09-11",1573,30,161
"Newham","17:00:00","2018-09-11",909,56,101
"Southwark","17:00:00","2018-09-11",413,0,37
"Brent","18:00:00","2018-09-11",3114,71,393
"Croydon","18:00:00","2018-09-11",108,0,5
"Harrow","18:00:00","2018-09-11",187,0,15
"Hillingdon","18:00:00","2018-09-11",1352,27,124
"Newham","18:00:00","2018-09-11",901,55,98
"Southwark","18:00:00","2018-09-11",408,0,28
"Barking and Dagenham","07:00:00","2018-09-12",152,13,26
"Croydon","07:00:00","2018-09-12",2076,50,584
"Hackney","07:00:00","2018-09-12",34,0,10
"Haringey","07:00:00","2018-09-12",505,2,162
"Havering","07:00:00","2018-09-12",612,38,97
"Islington","07:00:00","2018-09-12",152,57,64
"Waltham Forest","07:00:00","2018-09-12",111,32,22
"Westminster","07:00:00","2018-09-12",410,143,207
"Barking and Dagenham","08:00:00","2018-09-12",214,8,25
"Croydon","08:00:00","2018-09-12",2221,58,434
"Hackney","08:00:00","2018-09-12",45,0,7
"Haringey","08:00:00","2018-09-12",483,0,70
"Havering","08:00:00","2018-09-12",908,35,138
"Islington","08:00:00","2018-09-12",190,46,86
"Waltham Forest","08:00:00","2018-09-12",209,38,26
"Westminster","08:00:00","2018-09-12",522,159,147
"Barking and Dagenham","09:00:00","2018-09-12",182,17,22
"Croydon","09:00:00","2018-09-12",1958,69,463
"Hackney","09:00:00","2018-09-12",29,0,8
"Haringey","09:00:00","2018-09-12",441,1,76
"Havering","09:00:00","2018-09-12",695,45,125
"Islington","09:00:00","2018-09-12",207,56,68
"Waltham Forest","09:00:00","2018-09-12",134,39,20
"Westminster","09:00:00","2018-09-12",527,179,151
"Barking and Dagenham","10:00:00","2018-09-12",149,12,31
"Croydon","10:00:00","2018-09-12",1487,53,462
"Hackney","10:00:00","2018-09-12",29,0,3
"Haringey","10:00:00","2018-09-12",404,0,96
"Havering","10:00:00","2018-09-12",492,23,55
"Islington","10:00:00","2018-09-12",184,52,98
"Waltham Forest","10:00:00","2018-09-12",131,37,37
"Westminster","10:00:00","2018-09-12",452,193,157
"Barking and Dagenham","11:00:00","2018-09-12",105,11,20
"Croydon","11:00:00","2018-09-12",1661,49,505
"Hackney","11:00:00","2018-09-12",26,0,9
"Haringey","11:00:00","2018-09-12",413,0,78
"Havering","11:00:00","2018-09-12",480,33,82
"Islington","11:00:00","2018-09-12",199,46,120
"Waltham Forest","11:00:00","2018-09-12",137,36,34
"Westminster","11:00:00","2018-09-12",476,169,169
"Barking and Dagenham","12:00:00","2018-09-12",153,14,30
"Croydon","12:00:00","2018-09-12",1704,50,420
"Hackney","12:00:00","2018-09-12",29,0,6
"Haringey","12:00:00","2018-09-12",380,0,104
"Havering","12:00:00","2018-09-12",555,28,76
"Islington","12:00:00","2018-09-12",241,41,70
"Waltham Forest","12:00:00","2018-09-12",144,37,43
"Westminster","12:00:00","2018-09-12",513,179,163
"Barking and Dagenham","13:00:00","2018-09-12",154,13,23
"Croydon","13:00:00","2018-09-12",1888,61,532
"Hackney","13:00:00","2018-09-12",22,0,10
"Haringey","13:00:00","2018-09-12",383,0,109
"Havering","13:00:00","2018-09-12",467,30,73
"Islington","13:00:00","2018-09-12",230,49,82
"Waltham Forest","13:00:00","2018-09-12",141,33,28
"Westminster","13:00:00","2018-09-12",574,167,157
"Barking and Dagenham","14:00:00","2018-09-12",176,12,18
"Croydon","14:00:00","2018-09-12",1949,55,509
"Hackney","14:00:00","2018-09-12",34,1,6
"Haringey","14:00:00","2018-09-12",401,0,107
"Havering","14:00:00","2018-09-12",572,30,60
"Islington","14:00:00","2018-09-12",253,46,114
"Waltham Forest","14:00:00","2018-09-12",181,36,23
"Westminster","14:00:00","2018-09-12",757,160,126
"Barking and Dagenham","15:00:00","2018-09-12",248,12,25
"Croydon","15:00:00","2018-09-12",2015,58,430
"Hackney","15:00:00","2018-09-12",36,1,5
"Haringey","15:00:00","2018-09-12",407,1,75
"Havering","15:00:00","2018-09-12",678,34,86
