   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2021,30.448,55.802,28.278,15.613,19.764,17.618,15.189,15.024,15.896,18.066,20.165,24.481,26.958,28.396,27.948,24.505,21.439,20.401,20.047,19.977,14.340, 9.057, 8.585, 8.443
02-01-2021, 7.264, 6.840, 7.453, 7.052, 6.675, 5.778, 4.835, 4.363, 2.995, 2.995, 3.585, 3.939, 3.491, 2.877, 5.236, 5.637, 7.052, 8.066,10.566,10.519,10.519,10.708,12.689,13.326
03-01-2021,12.925, 7.854, 6.203, 5.047, 5.873, 9.835, 9.599, 8.538, 8.656, 6.415, 5.684, 5.165, 4.929, 4.906, 4.575, 3.915, 4.741, 6.297, 7.500, 9.151, 9.953, 9.269, 8.137, 7.288
04-01-2021, 5.330, 5.189, 5.142, 4.458, 3.939, 3.561, 3.396, 3.349, 3.137, 3.208, 2.972, 3.255, 4.788, 4.292, 3.113, 3.090, 3.090, 3.892, 4.693, 4.104, 5.165, 4.104, 3.797, 3.255
05-01-2021, 2.783, 2.594, 2.476, 2.476, 2.453, 2.618, 2.689, 2.783, 2.854, 3.349, 3.514, 3.915, 4.080, 4.057, 4.363, 4.151, 3.160, 4.458, 5.259, 6.085, 5.943, 5.590, 5.307, 4.859
06-01-2021, 4.646, 4.198, 3.750, 3.325, 3.113, 3.491, 3.750, 4.717, 5.142, 5.401, 5.519, 4.104, 4.575, 4.670, 4.245, 5.047, 4.953, 6.415, 8.302, 8.538, 8.326, 8.042,10.142,10.142
07-01-2021,10.778,10.873,12.453,14.222,15.047,14.410,15.071,15.236,16.415,16.769,17.264,17.217,14.505,16.415,18.656, 9.623,11.627,17.948,19.929,18.656,22.642,21.651,20.731,20.283
08-01-2021,21.627,22.146,23.420,23.066,22.901,22.382,22.241,22.288,23.609,28.373,27.760,28.255,28.090,23.137,18.915,20.212,18.538,17.288,19.764,20.354,18.679,23.632,22.146,20.826
09-01-2021,14.033,11.132,10.849,11.368, 9.269, 9.882, 8.326, 7.736, 8.420, 9.741,11.085,12.264,13.396,14.410,15.142,16.038,27.995,28.656,29.859,35.283,34.764,30.118,26.981,22.925
10-01-2021,17.877,14.717,12.712,13.160,12.925,11.344,12.547,12.925,13.797,15.047,15.920,18.160,19.764,18.278,17.972,18.774,21.651,19.363,16.321,19.410,21.203,22.099,15.071,16.274
11-01-2021,17.193,17.453,18.585,18.113,13.396, 8.208, 6.344, 5.118, 3.042, 3.797, 4.033, 4.104, 3.325, 2.571, 2.571, 1.651, 1.675, 2.406, 2.524, 3.160, 2.901, 2.759, 2.075, 1.509
12-01-2021, 0.849, 0.495, 0.377, 0.542, 0.873, 1.109, 1.344, 0.825, 1.439, 3.019, 4.222, 4.080, 2.736, 3.278, 4.245, 3.703, 4.222, 5.778, 7.948,10.684,11.910,13.208,13.113,13.326
13-01-2021,14.033,15.495,14.670,15.684,13.939,13.396,13.467,12.948,13.656,13.491,12.500,11.887,13.255,15.495,13.137, 7.123, 7.736, 9.764,10.330,10.943, 9.387, 8.868, 6.887, 3.632
14-01-2021, 2.005, 2.359, 2.759, 4.929, 6.297, 5.849, 3.774, 2.618, 2.665, 2.547, 2.099, 2.217, 2.571, 2.642, 2.075, 1.745, 1.533, 2.759, 4.481, 5.590, 6.934, 8.844, 9.057, 8.609
15-01-2021, 8.491, 8.726, 9.788,10.094, 9.859,10.873,11.722,12.500,13.137,14.127,14.245,14.882,15.967,16.014,15.495,16.604,24.198,21.250,24.859,33.703,33.161,20.849,17.288,14.151
16-01-2021,13.821,10.873, 7.500, 5.826, 6.038, 6.840, 9.670,11.793, 9.528, 7.217, 3.609, 2.075, 2.335, 3.420, 4.670, 5.307, 5.943, 4.929, 6.462, 6.014, 6.792, 6.509, 6.462, 5.920
17-01-2021, 6.274, 7.028, 7.453, 7.382, 7.099, 6.651, 5.708, 4.788, 3.939, 4.127, 3.962, 4.009, 3.892, 4.245, 4.505, 4.434, 5.189, 6.038,10.708,15.142,16.203,15.047,17.028,15.377
18-01-2021,13.656,10.802, 8.868, 8.656, 8.042, 7.406, 6.769, 6.368, 6.297, 6.132, 5.024, 4.788, 3.774, 4.127, 4.575, 7.476, 7.076, 6.344, 6.344, 7.311, 5.189, 3.019, 1.769, 1.014
19-01-2021, 0.684, 0.519, 0.495, 0.401, 0.472, 0.542, 0.566, 0.660, 0.802, 1.038, 1.250, 1.226, 1.651, 1.816, 4.222, 4.505, 5.212, 5.307, 6.132, 5.047, 4.623, 3.962, 5.024, 4.528
20-01-2021, 3.868, 2.311, 1.486, 1.958, 2.311, 2.170, 3.491, 4.929, 4.198, 2.736, 2.359, 3.160, 4.104, 4.340, 6.297, 7.005, 7.547, 6.486, 9.717,10.283, 8.467, 7.642, 4.434, 1.698
21-01-2021, 0.472, 0.566, 1.297, 2.359, 2.524, 2.217, 2.217, 2.311, 2.594, 2.925, 2.759, 2.453, 3.302, 4.033, 4.198, 5.047, 5.566, 6.958,10.118, 9.458, 8.538, 5.566, 5.189, 5.472
22-01-2021, 4.316, 4.434, 4.646, 4.340, 4.127, 3.844, 4.340, 5.448, 7.311, 9.222, 9.009, 9.552, 8.892, 6.509, 5.542,10.283, 7.170, 8.561, 3.750, 4.575, 9.151, 9.693, 5.684, 4.410
23-01-2021, 4.788, 3.821, 3.231, 3.868, 4.741, 5.778, 6.132, 6.486, 9.764,12.925,16.179,17.712,15.684,13.514, 6.156, 5.259, 5.684, 5.189, 5.731, 5.731, 8.797,10.000,13.396,15.519
24-01-2021,15.472,12.972,12.712,11.981, 9.576, 9.009, 7.594, 5.307, 3.609, 4.080, 4.458, 4.481, 4.693, 5.943,11.769, 9.410, 8.302, 8.726,13.043,12.335,10.920,10.000, 5.259, 9.882
25-01-2021,10.000, 8.184, 9.882, 9.080, 8.349, 7.453, 8.420,10.731,12.736,14.953,14.599,10.307, 7.099, 6.014, 5.755, 7.335, 5.684, 5.802, 7.170, 7.925,10.401, 8.656, 8.868,11.179
26-01-2021,10.165, 8.797, 8.986, 9.009, 9.198, 8.632, 8.726, 8.137, 9.976, 8.656,10.896, 9.788, 5.259, 6.061, 6.344, 5.212, 6.132, 5.283, 4.292, 3.962, 3.986, 3.703, 3.986, 4.552
27-01-2021, 6.061, 8.160, 9.788, 9.599, 9.198, 9.151, 9.528, 9.552, 9.293, 9.859,11.179,10.731, 8.750,      , 5.613, 4.316, 6.274, 7.618,11.793,13.892,11.344,10.991,10.236, 7.901
28-01-2021, 5.731, 4.009, 2.264, 1.887, 2.925, 2.170, 0.920, 0.778, 0.873, 2.028, 5.165, 7.099, 8.278, 9.693, 8.915, 6.415, 3.019, 2.453, 3.491, 8.019,10.094, 5.849, 2.241, 1.226
29-01-2021, 1.038, 1.816, 9.151,10.778,10.259, 8.726, 7.288, 5.920, 6.675, 6.392, 4.434, 2.618, 2.099, 2.736, 3.019, 2.335, 1.981, 1.863, 2.028, 6.675,10.566,10.472,10.401, 8.750
30-01-2021, 9.670, 8.042, 7.099, 6.651, 6.604, 2.995, 1.910, 1.226, 1.085, 1.533, 2.311, 3.538, 4.057, 3.609, 3.325, 5.495, 5.519, 6.958,10.519,10.613,10.401,10.495,10.826,10.165
31-01-2021, 7.547, 5.873, 4.859, 4.505, 4.741, 4.623, 5.000, 5.495, 6.085, 7.594, 8.349, 8.349, 9.127, 9.835,10.684,12.972,12.123,11.250,10.896,11.910,12.476,13.019,13.302,13.632
01-02-2021, 8.726, 6.179, 8.326,11.580,13.090,13.962,15.071,17.760,18.986,13.514,11.203,11.934,12.241,14.693,14.764,14.788,14.222,13.137,14.104,18.113,21.533,21.486,20.755,18.868
02-02-2021,15.731,13.797,11.297, 6.156, 4.387, 4.387, 4.505, 5.024, 6.156, 4.811, 5.873, 7.642,12.382,13.915,15.896,15.826,15.401,16.462,15.920,10.519, 7.429,11.698,11.321, 9.104
