   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2020,35.600,42.500,42.300,45.600,40.400,39.600,39.500,35.000,39.300,37.100,35.900,38.100,39.000,38.800,32.700,29.900,31.800,30.500,30.800,27.700,24.800,24.400,22.500,19.700
02-01-2020,17.700,14.100,14.200,10.700,11.700,11.400, 7.900, 6.300, 8.000, 6.300, 5.200, 5.200, 7.300, 9.800, 8.400, 5.600, 5.600, 6.300, 6.700, 5.500, 5.600, 8.200, 8.600, 5.600
03-01-2020, 6.100, 5.700, 2.100, 1.700, 1.200, 0.900, 0.200, 1.800, 1.500, 1.700, 5.900, 7.200, 4.000, 5.200, 7.600, 6.400, 5.100, 7.500, 9.700, 7.800, 8.400, 5.800, 7.900, 5.100
04-01-2020, 4.300, 6.800, 6.100, 6.500, 7.600, 5.400, 4.900, 6.100, 4.000, 3.300, 3.300, 4.100, 3.900, 7.300, 4.900, 2.900, 4.300, 2.200, 8.100, 8.300,14.100,18.000,14.700,13.600
05-01-2020, 9.800, 9.500, 6.600, 6.300, 5.000, 2.900, 1.100, 1.400, 1.000, 2.000, 2.300, 2.100, 0.800, 0.400, 0.700, 3.500, 0.700, 4.400, 5.900, 4.500, 6.700, 5.600, 7.100, 6.700
06-01-2020, 5.900, 5.600, 4.100, 3.000, 4.300, 6.900, 6.400, 7.800, 5.600, 5.200, 8.000, 6.000, 5.900, 8.900, 8.400, 6.100, 6.500, 6.500, 8.200, 8.100,11.500,11.400,12.900,13.900
07-01-2020, 8.800, 6.700,10.600, 8.500, 4.400, 7.100,10.400, 7.400, 8.400,12.200,11.900,13.500,13.600,10.800,11.200, 5.500, 4.600, 3.000, 3.500, 1.400, 5.200, 5.800, 1.200, 5.100
08-01-2020, 2.400, 1.600, 0.200, 3.500,-3.000, 0.900, 0.900, 3.200, 8.300,13.000,12.000,16.000,14.800,17.200,18.500,16.700,13.500,16.000,15.700,19.400,18.400,21.100,13.600, 7.800
09-01-2020, 3.700, 1.000, 0.700,-1.900, 1.900, 1.500, 4.600, 2.900, 2.200, 4.400, 4.900, 6.300, 7.900, 5.400, 2.500, 6.600, 5.100, 5.600, 4.700, 8.000, 9.600, 5.500, 2.300, 6.600
10-01-2020, 8.000, 7.300,10.800, 6.400, 5.100, 6.500, 8.500, 5.900, 3.700, 2.600, 2.200, 4.800, 4.600, 6.100, 6.200, 2.800, 6.800, 6.300, 6.000,14.900,14.300,13.700, 9.400, 7.100
11-01-2020, 3.900, 4.800, 3.100, 5.200, 4.800, 4.700, 4.200, 6.800, 5.500, 4.900, 5.400, 5.600, 4.400, 2.900, 4.600, 7.800, 7.400, 9.800, 7.600, 8.100, 8.700, 7.600, 7.100, 7.000
12-01-2020, 6.300, 5.900, 3.600, 2.800, 1.600,-0.800,-0.800, 1.500, 0.400, 0.200, 1.700, 3.600, 3.400, 0.300, 1.600, 3.900, 2.600, 1.700, 4.700, 5.300, 3.900, 4.300, 4.400, 6.300
13-01-2020, 5.600, 6.100, 4.300, 4.200, 5.200, 4.200, 1.900, 2.000, 4.700, 7.900, 5.200, 5.100, 3.200,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
14-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
15-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
16-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
17-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , 1.800, 5.900, 3.300, 2.700, 2.700, 5.400, 2.800, 3.600, 5.500, 9.200, 6.900, 8.100, 6.000
18-01-2020, 4.800, 2.800, 4.200, 4.800, 6.500, 2.300, 4.200, 6.300, 6.800, 9.300, 9.800,12.800,10.900, 5.800, 5.300, 5.200, 7.300, 9.400,11.000,13.100, 9.400,14.700,10.300,12.000
19-01-2020,10.400,11.700, 8.000, 8.700, 7.400, 5.500, 4.800, 6.500, 4.900, 5.500, 8.000, 7.500, 4.900,10.200, 7.800, 6.500, 7.400, 9.200,12.800,20.000,15.500, 9.500,28.800,26.700
20-01-2020,26.000,26.100,25.100,17.800,19.000,18.400,17.900,22.000,23.900,24.000,27.500,31.100,30.400,26.800,22.100,27.000,26.700,26.900,26.700,34.900,28.700,29.300,27.000,26.600
21-01-2020,30.500,35.200,33.200,30.100,29.400,30.600,34.200,30.900,34.900,33.000,33.900,41.500,30.800,30.600,31.000,29.200,25.700,21.800,21.000,21.200,20.700,21.400,25.600,26.800
22-01-2020,23.800,22.600,27.400,31.600,32.900,30.700,30.600,30.000,29.400,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
23-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,19.900,20.600,16.200,12.200,19.200,17.600,10.200, 9.300,10.400,14.300,13.400,17.100,20.000,16.500,17.000,19.500
