   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2021,20.000,19.000,14.000,17.000,20.000,21.000,17.000,17.000,17.000,17.000,21.000,31.000,30.000,28.000,31.000,26.000,23.000,23.000,23.000,16.000,13.000,10.000,10.000, 8.000
02-01-2021, 6.000, 6.000, 5.000, 4.000, 6.000, 4.000, 7.000, 5.000, 2.000, 2.000, 3.000, 5.000, 5.000, 4.000, 5.000, 6.000, 9.000,12.000,11.000,14.000,16.000,14.000,14.000,17.000
03-01-2021,13.000,10.000, 7.000, 5.000, 6.000,10.000, 9.000, 9.000,10.000, 7.000, 8.000, 6.000, 6.000, 7.000, 7.000, 6.000, 6.000, 7.000, 9.000, 9.000,14.000,12.000, 9.000, 7.000
04-01-2021, 8.000, 4.000, 6.000, 6.000, 4.000, 5.000, 4.000, 3.000, 4.000, 3.000, 5.000, 4.000, 6.000, 8.000, 8.000, 6.000, 5.000, 4.000, 2.000, 5.000, 7.000, 6.000, 5.000, 3.000
05-01-2021, 1.000, 4.000, 6.000, 4.000, 3.000, 3.000, 6.000, 5.000, 5.000, 4.000, 6.000, 7.000, 6.000, 6.000, 6.000, 5.000, 6.000, 8.000, 9.000,10.000, 8.000,10.000, 6.000, 3.000
06-01-2021, 3.000, 5.000, 3.000, 3.000, 6.000, 5.000, 3.000, 4.000, 6.000, 7.000, 8.000, 7.000, 6.000, 6.000, 9.000, 6.000, 9.000, 8.000, 6.000, 9.000, 8.000, 8.000, 8.000, 9.000
07-01-2021,10.000,13.000, 9.000,15.000,14.000,17.000,13.000,16.000,21.000,22.000,21.000,22.000,20.000,17.000,19.000,10.000,10.000,19.000,26.000,20.000,21.000,24.000,19.000,21.000
08-01-2021,24.000,22.000,25.000,26.000,23.000,24.000,22.000,24.000,26.000,29.000,30.000,28.000,23.000,18.000,24.000,24.000,20.000,20.000,20.000,18.000,21.000,26.000,24.000,17.000
09-01-2021,17.000,12.000,12.000,12.000,13.000,13.000, 9.000, 9.000,12.000,12.000,11.000,16.000,14.000,11.000,15.000,17.000,17.000,15.000,32.000,29.000,34.000,34.000,32.000,26.000
10-01-2021,21.000,15.000,15.000,15.000,17.000,12.000,12.000,10.000,14.000,16.000,15.000,22.000,21.000,21.000,21.000,17.000,21.000,16.000,17.000,17.000,26.000,19.000,14.000,14.000
11-01-2021,19.000,20.000,17.000,17.000,11.000,11.000, 7.000, 4.000, 4.000, 3.000, 2.000, 5.000,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
12-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
13-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
14-01-2021,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , 8.000, 4.000, 3.000, 4.000, 5.000,11.000,10.000,11.000, 9.000,10.000
15-01-2021, 7.000, 7.000, 7.000, 8.000, 7.000,11.000,10.000,11.000,13.000,12.000,17.000,14.000,19.000,16.000,16.000,17.000,17.000,17.000,20.000,24.000,26.000,21.000,16.000, 9.000
16-01-2021, 9.000,11.000, 9.000, 5.000, 3.000, 5.000,11.000,11.000, 8.000, 6.000, 3.000, 2.000, 2.000, 2.000, 6.000, 8.000, 9.000, 7.000, 8.000, 6.000, 9.000, 8.000, 7.000, 4.000
17-01-2021, 9.000, 6.000, 5.000, 9.000, 6.000, 6.000, 7.000, 5.000, 5.000, 6.000, 6.000, 4.000, 7.000, 4.000, 5.000, 6.000, 6.000, 7.000, 6.000, 9.000, 9.000,14.000,16.000, 9.000
18-01-2021,12.000, 9.000, 6.000, 6.000, 6.000, 2.000, 2.000, 4.000, 6.000, 8.000, 7.000, 4.000, 1.000, 2.000, 5.000, 7.000,10.000, 9.000, 8.000, 7.000, 5.000, 5.000, 4.000, 2.000
19-01-2021, 1.000, 6.000, 4.000, 2.000, 2.000, 4.000, 2.000,-1.000,-1.000, 0.000, 1.000,-1.000, 2.000, 5.000, 8.000, 5.000, 4.000, 7.000, 5.000, 1.000, 8.000, 5.000, 6.000, 6.000
20-01-2021, 4.000, 3.000, 3.000,-3.000,-1.000, 2.000, 2.000, 3.000,18.000, 6.000, 3.000, 1.000, 5.000, 4.000,      ,      ,      ,      , 8.000,11.000,13.000,14.000, 7.000, 3.000
21-01-2021, 2.000, 0.000, 1.000, 4.000,-1.000,-4.000, 0.000, 1.000,      ,      ,      ,      ,      ,      ,      , 8.000, 6.000, 7.000, 6.000, 9.000,12.000, 8.000,11.000, 6.000
