   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2021,22.453,19.099,20.925,19.974,17.363,12.434,13.316,13.335,16.811,19.010,21.757,22.738,24.545,27.694,25.764,22.068,22.229,20.708,19.385,16.995,14.024,11.314, 7.723, 6.831
02-01-2021, 6.451, 6.331, 6.814, 5.890, 6.106, 4.799, 5.698, 6.179, 4.606, 4.145, 3.640, 3.665, 3.356, 2.722, 3.525, 3.463, 5.755, 6.042, 6.975, 8.914, 9.546,10.526,11.335,11.290
03-01-2021, 9.514, 6.557, 5.812, 4.307, 4.574, 9.404, 7.299, 7.017, 7.166, 5.942, 4.983, 4.434, 4.059, 4.015, 3.693, 2.726, 3.811, 4.610, 6.192, 7.047, 7.760, 7.770, 7.181, 6.252
04-01-2021, 4.729, 4.669, 4.445, 4.175, 3.731, 3.278, 3.069, 3.132, 3.189, 3.012, 2.991, 3.256, 4.281, 3.922, 3.300, 3.243, 2.844, 3.445, 3.878, 3.303, 3.474, 3.322, 3.220, 2.712
05-01-2021, 2.147, 2.263, 2.366, 2.417, 2.320, 2.209, 2.333, 2.329, 2.482, 2.697, 3.183, 3.434, 3.700, 3.847, 3.769, 3.464, 3.675, 3.897, 4.573, 5.034, 4.805, 4.605, 4.675, 4.021
06-01-2021, 3.813, 3.596, 3.233, 2.869, 2.742, 3.763, 3.287, 4.221, 5.068, 5.026, 4.796, 3.803, 4.329, 4.158, 4.003, 4.676, 5.138, 6.243, 7.119, 9.434, 7.172, 7.877, 9.228, 9.612
07-01-2021, 9.084,10.472,12.059,13.019,12.785,12.712,14.495,14.684,14.543,14.302,14.493,14.717,15.910,17.278,17.540,19.385,17.929,17.257,18.531,17.811,17.234,16.993,18.094,19.802
08-01-2021,20.781,22.731,20.231,18.929,19.401,19.184,19.359,19.686,21.401,26.936,29.349,26.224,25.241,28.993,23.873,20.377,18.092,15.578,16.708,17.415,21.939,22.321,20.059,19.010
09-01-2021,17.592,14.920,10.573,10.165, 8.882, 9.416, 7.996, 7.695, 7.930, 8.934, 9.117, 9.755,12.057,20.635,18.189,19.104,20.010,20.510,18.646,14.668,17.219,17.234,15.050,12.601
10-01-2021,12.649,11.297,11.590, 9.289, 9.759,11.267,12.210,11.877,13.160,15.168,15.781,15.328,16.611,17.135,18.127,19.139,21.014,18.507,16.899,17.859,16.441,13.323,16.778,16.363
11-01-2021,18.512,18.201,12.627,10.394, 9.933, 7.006, 5.196, 3.034, 2.532, 3.076, 3.087, 3.406, 2.298, 1.965, 1.393, 1.177, 1.673, 2.105, 2.287, 2.355, 2.273, 2.046, 1.753, 0.971
12-01-2021, 0.657, 0.365, 0.280, 0.705, 0.907, 1.319, 1.703, 1.304, 1.433, 3.528, 3.725, 4.927, 3.019, 3.281, 3.990, 3.869, 3.976, 6.182,10.831,11.941,20.368,31.118,15.502,12.250
13-01-2021,11.807,11.844,11.842,12.285,14.130,15.342,14.153,12.906,12.842,13.514,13.684,14.616,11.788, 8.282, 4.816, 5.342, 6.505, 6.872, 7.105, 6.655, 5.252, 4.256, 2.719, 1.241
14-01-2021, 0.944, 1.101, 1.244, 0.875, 1.048, 2.158, 2.484, 2.882, 2.303, 3.098, 3.538, 2.880, 4.047, 2.826, 2.431, 1.648, 1.567, 1.396, 3.077, 4.589, 4.695, 7.087, 8.049, 7.340
15-01-2021, 7.573, 7.626, 8.450, 8.250, 8.592, 9.456,10.035,10.561,11.755,12.901,13.177,13.132,12.767,13.250,13.738,13.724,23.734,22.625,19.932,22.885,24.811,25.231,23.019,19.021
16-01-2021,15.599,11.438, 6.131, 4.674, 5.242, 6.094, 8.705, 9.239, 7.901, 4.954, 2.400, 2.013, 2.671, 3.236, 6.554, 5.368, 3.572, 4.934, 4.776, 4.762, 4.799, 4.999, 5.288, 5.550
17-01-2021, 5.958, 6.534, 6.563, 6.632, 6.492, 6.040, 4.177, 4.375, 4.438, 3.225, 2.890, 3.261, 3.679, 3.817, 3.804, 3.895, 4.102, 6.296, 6.316, 7.803,12.583,11.606,11.401,10.500
18-01-2021,10.297, 7.673, 7.548, 7.946, 7.123, 6.562, 6.106, 5.992, 8.311, 3.765, 2.688, 2.142, 2.394, 2.576, 4.452, 5.098, 5.802, 7.214, 6.789, 6.011, 3.773, 2.124, 1.159, 0.937
19-01-2021, 0.491, 0.385, 0.359, 0.296, 0.361, 0.433, 0.417, 0.464, 0.446, 0.793, 0.937, 0.878, 1.281, 1.508, 3.163, 3.597, 4.329, 5.301, 4.883, 3.805, 3.109, 3.361, 3.796, 3.485
20-01-2021, 2.441, 1.543, 1.166, 1.366, 1.831, 1.705, 3.187, 4.019, 3.474,      ,      ,      , 2.902, 3.631, 5.625, 6.256, 6.105, 4.834, 9.072, 8.609, 7.835, 6.159, 3.196, 0.895
21-01-2021, 0.388, 0.530, 1.874, 2.213, 2.070, 1.841, 1.907, 1.868, 1.926, 2.163, 1.941, 1.994, 2.652, 3.178, 3.210, 3.751, 5.549, 9.765, 6.958, 6.377, 5.157, 4.914, 5.295, 4.130
22-01-2021, 4.013, 4.177, 3.501, 3.636, 3.092, 3.250, 4.291, 5.445, 7.494, 7.001, 8.269, 5.664, 4.909, 4.478, 4.454, 3.350, 4.615, 6.478, 7.211, 6.296, 8.088, 5.180, 2.712, 3.650
23-01-2021, 3.713, 2.555, 2.840, 4.430, 4.909, 5.082, 5.494, 6.729, 7.852, 9.277, 9.060,10.693,11.198, 8.109, 4.679, 5.022, 5.981, 4.865, 3.638, 6.315, 7.531,10.010,11.335,11.693
24-01-2021,10.086, 8.936, 7.886, 9.286, 9.614,10.047, 9.268, 6.521, 5.258, 3.798, 3.330, 2.731, 3.940, 4.523, 7.005, 9.832,10.201,10.197, 4.862, 5.922, 9.407,10.155, 4.667, 8.845
25-01-2021, 6.716, 6.915, 8.747, 9.738, 9.163, 8.154, 9.262,11.403,11.658,11.769,11.401, 8.214, 5.808, 5.458, 7.938, 5.883, 4.425, 4.219, 5.692, 6.301, 5.669, 5.272, 5.799, 7.254
