   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2018, 4.501, 3.245, 1.980, 1.822, 2.003, 3.236, 5.137, 6.599, 7.922, 8.962, 9.322, 8.255, 6.299, 4.630, 2.768, 2.639, 2.953, 3.905, 3.835, 3.339, 3.059, 3.117, 3.315, 3.526
02-01-2018, 3.177, 3.225, 4.712, 5.870, 6.482, 7.144, 8.250, 8.513, 8.256, 8.195, 8.709, 7.430, 4.274, 1.391, 1.316, 5.263,11.787,18.010,17.757,16.526,14.606, 4.535, 1.596, 1.408
03-01-2018, 4.642, 5.897, 4.731, 6.491, 6.409, 5.516, 5.641, 6.388, 6.437, 6.043, 8.529, 9.870, 9.981,10.217,11.099,12.418,13.274,12.722,12.337,13.998,15.153,14.906,15.295,14.175
04-01-2018, 8.825, 6.174, 4.671, 4.538, 4.765, 4.284, 2.821, 2.346, 3.421, 3.198, 4.266,10.422,11.672, 8.347, 4.865, 3.444, 2.311, 2.517, 3.133, 3.965, 4.125, 4.676, 3.624, 3.468
05-01-2018, 3.513, 3.367, 3.857, 3.354, 3.753, 4.728, 6.149, 8.030, 7.721, 3.198, 4.127, 4.016, 2.162, 1.537, 1.946, 1.860, 2.573, 3.917, 4.685, 6.001, 8.120,12.014,12.040,14.031
06-01-2018,16.370,16.568,14.222,10.934,11.835,13.578,15.769,20.467,18.335,17.101,15.210,13.050,12.571,11.719, 9.206, 5.990, 3.873, 4.507, 4.613, 5.081, 5.276, 6.054, 6.533, 6.371
07-01-2018, 5.920, 5.377, 5.153, 4.550, 3.817, 3.412, 3.038, 2.767, 3.504, 4.006, 4.391, 4.964, 5.507, 5.012, 4.953, 4.901, 5.093, 5.217, 5.375, 5.619, 5.865, 5.741, 5.976, 6.219
08-01-2018, 6.280, 6.686, 6.789, 6.721, 7.618, 7.586, 8.715,10.083,13.559,13.104,12.918,12.868,13.729,14.186,14.568,14.863,14.861,14.408,15.635,15.552,16.446,18.255,20.413,21.844
09-01-2018,21.719,22.028,21.597,21.024,21.377,21.859,23.234,23.722,23.767,24.585,23.778,25.170,24.665,25.120,27.177,28.005,29.309,26.061,24.722,22.248,20.512,15.899,15.811,18.908
10-01-2018,14.097,13.109,10.691, 9.405, 7.445, 3.985, 1.686, 4.823, 4.706, 6.178, 7.289, 7.601, 7.304,      , 6.171, 7.332,10.119,10.781,13.625,15.500,17.248,21.208,23.698,22.670
11-01-2018,25.844,26.833,25.083,19.859,19.455,19.177,20.568,19.196,14.811,15.123,20.231,20.927,21.837,18.800,20.262,20.311,22.863,27.019,26.295,22.800,22.219,22.040,23.908,23.319
12-01-2018,25.653,25.031,22.033,26.205,29.014,26.109,24.267,22.686,20.802,25.019,22.842,16.380,15.165,14.215,14.179,16.370,19.526,21.644,19.052,13.146,15.278,15.104,13.505,14.467
13-01-2018,15.451,18.955,19.300,17.967,15.318,15.788,16.840,17.679,18.335,18.918,19.271,19.321,16.488,16.441,17.616,18.488,18.929,21.748,22.453,21.427,22.156,21.370,22.377,21.757
