   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2020,42.000,48.000,52.000,48.000,43.000,41.000,39.000,39.000,42.000,41.000,36.000,37.000,38.000,36.000,39.000,33.000,33.000,32.000,34.000,30.000,27.000,22.000,24.000,23.000
02-01-2020,17.000,12.000,17.000,14.000,13.000,11.000,15.000,14.000,10.000, 9.000, 9.000, 6.000, 7.000,10.000,12.000,10.000, 9.000, 9.000, 6.000, 8.000, 8.000, 6.000,11.000, 6.000
03-01-2020, 8.000, 9.000, 7.000, 4.000, 3.000, 2.000, 1.000, 6.000, 6.000, 8.000,12.000,10.000,12.000,10.000, 6.000,11.000,12.000,14.000,13.000,10.000,16.000,12.000,10.000,11.000
04-01-2020,10.000,13.000,11.000,13.000, 9.000, 5.000, 2.000, 4.000, 6.000, 8.000, 8.000, 8.000, 6.000, 4.000, 7.000, 8.000, 7.000, 7.000,11.000,16.000,21.000,18.000,17.000,18.000
05-01-2020,16.000,11.000,12.000, 7.000, 4.000, 3.000, 4.000, 4.000, 5.000, 5.000, 2.000, 0.000, 3.000, 3.000, 3.000, 3.000, 3.000, 5.000, 6.000, 8.000, 7.000, 6.000,12.000, 8.000
06-01-2020, 9.000, 6.000, 6.000, 6.000, 7.000, 8.000, 8.000,13.000, 9.000,10.000, 9.000, 7.000, 7.000, 9.000,10.000,13.000,10.000,10.000,12.000,13.000,11.000, 9.000,12.000,12.000
07-01-2020, 9.000,10.000, 8.000, 9.000, 8.000, 8.000,11.000, 9.000, 8.000,12.000,17.000,14.000,16.000,12.000, 8.000, 6.000, 5.000, 5.000, 3.000, 4.000, 6.000, 6.000, 5.000, 3.000
08-01-2020, 3.000, 0.000, 2.000, 2.000, 3.000, 5.000, 5.000, 6.000, 9.000,13.000,19.000,17.000,21.000,17.000,18.000,20.000,19.000,15.000,22.000,23.000,22.000,19.000,13.000, 7.000
09-01-2020, 4.000, 3.000, 2.000, 0.000, 2.000, 3.000, 4.000, 7.000, 7.000, 8.000,13.000,16.000, 9.000, 6.000,10.000,      ,      , 5.000, 9.000,13.000,15.000,13.000, 8.000, 7.000
10-01-2020,10.000,12.000,11.000, 6.000, 5.000, 8.000, 9.000, 7.000, 6.000, 7.000, 4.000, 6.000, 8.000, 8.000, 9.000, 7.000, 5.000,12.000,11.000,11.000,12.000,12.000, 7.000, 5.000
11-01-2020, 3.000, 3.000, 5.000, 7.000, 6.000, 5.000, 6.000, 6.000,12.000, 8.000,10.000, 7.000, 5.000, 6.000, 8.000, 9.000, 9.000, 8.000, 7.000, 8.000,10.000,10.000, 8.000, 5.000
12-01-2020, 5.000, 7.000, 5.000, 5.000, 3.000, 1.000, 4.000, 3.000, 2.000, 4.000, 5.000, 6.000, 5.000, 4.000, 4.000, 3.000, 4.000, 5.000, 7.000, 6.000, 5.000, 6.000, 4.000, 6.000
13-01-2020, 6.000, 8.000, 8.000, 9.000, 6.000, 4.000, 7.000, 7.000, 7.000, 6.000, 7.000, 5.000, 5.000, 4.000, 5.000, 6.000, 6.000, 4.000, 1.000, 4.000, 5.000, 1.000, 4.000, 7.000
14-01-2020, 5.000, 3.000, 7.000, 9.000, 8.000, 9.000,12.000,10.000,11.000, 9.000,11.000, 6.000, 3.000, 3.000, 3.000, 2.000, 2.000, 5.000, 3.000, 4.000, 4.000, 5.000, 5.000, 2.000
15-01-2020, 5.000, 3.000, 3.000, 7.000, 6.000, 4.000, 2.000, 0.000, 5.000, 6.000, 6.000, 5.000, 4.000, 3.000, 5.000, 5.000, 6.000, 8.000, 6.000,10.000,11.000,10.000,14.000,10.000
