   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2020,38.000,48.100,46.900,46.100,39.600,34.300,28.400,28.200,26.500,26.100,30.800,29.900,32.800,34.800,35.000,32.800,31.800,31.300,30.000,30.700,31.100,32.100,24.900,24.200
02-01-2020,17.700,18.100,11.700,11.100,10.800,11.500,12.300, 8.800,10.700, 8.700, 5.500, 5.900, 6.100, 7.400, 6.600, 4.800, 5.800, 9.500, 5.100, 5.900, 5.200, 5.200, 5.600, 5.700
03-01-2020, 7.300, 5.500, 6.200, 5.000, 3.500, 1.900, 2.200, 2.800, 4.200, 4.000, 5.100, 5.900, 6.900, 4.700, 5.900, 5.800, 7.400, 7.100, 7.800, 9.100, 9.400,12.400, 9.200,11.000
04-01-2020,10.000, 7.200, 4.500, 5.800, 5.500, 5.400, 2.700, 7.100, 2.100, 5.700, 4.700, 3.000, 4.000, 4.300, 5.100, 5.500, 5.600, 8.300,12.300,14.700,10.000,13.400,14.400,13.900
05-01-2020,14.300,10.700, 9.200, 6.900, 5.300, 4.000, 4.200, 2.900, 2.500, 1.800, 3.300, 4.000, 2.600, 1.400, 2.900, 2.400, 5.300, 3.800, 4.400, 6.200, 6.800, 4.600, 5.300, 8.300
06-01-2020, 8.400, 6.100, 4.600, 5.900, 6.100, 7.500, 9.300, 6.800, 5.900, 5.200, 7.100, 6.200, 6.300, 5.200,12.800, 8.700, 5.700, 7.000,10.100, 3.800, 4.600, 7.700, 7.600, 8.800
07-01-2020, 8.900, 9.000, 6.500, 8.400, 5.700, 5.400, 9.000, 9.000, 9.100,10.900, 9.900,12.200,14.400,10.600, 7.600, 6.400, 5.900, 7.300, 4.300, 4.700, 5.200, 4.200, 2.400, 2.500
08-01-2020, 0.900, 5.200, 4.800, 3.800, 3.700, 6.400, 4.200, 4.000, 8.600, 6.600,10.400,11.700,12.000,14.200,15.500,16.200,15.700,17.400,18.900,20.100,19.100,14.900,11.800, 8.200
09-01-2020, 2.200, 2.400, 4.000, 4.000, 3.900, 1.900, 0.400, 1.300, 4.200, 1.800, 3.900, 6.100, 7.300, 6.300, 4.100, 5.500, 5.900, 3.700, 6.800, 8.800, 8.400, 8.100, 4.500, 6.100
10-01-2020, 7.500, 7.300, 8.700, 8.000, 5.300, 4.700, 8.000, 6.600, 6.400, 5.800, 5.100, 3.600, 3.700, 3.300, 5.200, 7.700, 9.500, 5.800,14.300, 9.400,10.600,15.800,10.500, 9.900
11-01-2020, 6.300, 6.900, 6.600, 4.600, 4.800, 6.200, 7.300, 5.400, 7.000, 6.500, 7.000, 5.000, 4.800, 4.900, 3.500, 7.000, 4.300, 6.500, 7.500, 7.100, 7.900, 1.600, 7.400, 7.600
12-01-2020, 7.900, 7.200, 6.600, 6.400, 4.100, 2.900, 2.700, 1.800, 3.600, 3.100, 4.300, 5.400, 3.700, 4.500, 3.500, 3.700, 3.000, 4.000, 3.600, 7.200, 5.100, 5.500, 7.400, 6.800
13-01-2020, 6.200, 4.600, 4.700, 4.400, 4.500, 3.500, 3.500, 4.300, 4.800, 5.300, 6.600, 4.100, 7.800, 0.100, 2.100, 5.700, 4.000, 4.800, 2.300, 1.400, 6.600, 2.600, 2.900, 6.000
14-01-2020,-2.600, 3.300, 6.600, 5.100, 5.900, 7.900, 5.900, 8.300, 6.100, 6.500, 8.000, 3.800, 3.500, 3.000, 3.900, 3.900, 4.800, 2.100, 3.800, 5.500, 4.600, 5.800, 5.200, 5.300
15-01-2020, 8.200, 6.700, 9.500, 8.400, 6.500, 2.800, 0.900, 2.200, 4.000, 2.900, 1.900, 5.000, 3.700, 3.200, 4.600, 5.400, 5.000, 6.400, 7.000, 6.400, 5.500, 4.500, 4.900, 6.500
16-01-2020, 6.000, 4.100, 4.500, 6.000, 3.300, 3.700, 4.900, 4.800, 5.700, 6.500,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
17-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
18-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
19-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
20-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
21-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
22-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
23-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
24-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
25-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
26-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
27-01-2020,      ,      ,      ,      ,      ,      ,      ,      ,      , 2.900, 3.900, 2.100, 2.700, 2.500, 3.300, 1.300, 1.100, 4.100, 8.900, 4.300, 3.200, 4.500, 2.700, 3.100
28-01-2020, 2.200, 2.700, 0.200,-0.500, 1.900, 1.100, 1.400, 0.200, 1.600, 1.800, 2.800, 5.600, 3.000, 3.500, 1.900, 0.700, 2.800, 3.700, 4.000, 5.500, 7.400, 5.400, 4.600, 5.800
29-01-2020, 4.500, 4.900, 2.400, 5.200, 4.200, 4.100, 5.000, 4.500, 5.200, 3.600, 4.600, 3.900, 5.200, 3.600, 5.000, 5.100, 5.700, 7.300, 8.600, 8.500, 8.300, 5.900, 4.900, 4.600
30-01-2020, 5.500, 6.900, 5.300, 5.300, 5.300, 5.300, 4.700, 5.800, 7.500, 5.700, 3.900, 4.700, 2.800, 2.300, 2.300, 5.500, 2.100, 1.400, 1.100, 0.500, 2.600, 1.500, 3.100, 1.500
31-01-2020, 1.000, 3.200, 3.000, 1.500, 0.300, 1.500, 2.600, 4.600, 3.600, 2.900, 2.200, 0.900, 1.600, 2.600, 2.900, 4.200, 3.700, 4.200, 2.600, 1.600, 2.200, 0.500,-1.300, 0.500
01-02-2020, 0.100, 1.800, 3.700, 1.400, 0.500, 3.100, 2.300, 3.800, 5.600, 7.800,10.400, 8.200, 9.300, 8.200, 4.300, 5.000, 5.800, 8.700, 5.500, 4.900, 7.300, 6.900, 6.900, 5.800
02-02-2020, 7.100, 5.300, 6.500, 9.400, 3.900, 1.800, 2.500, 1.600,-1.200,-0.600, 3.200, 7.200, 8.100, 8.100, 8.200, 7.100, 6.900,11.800,10.400,10.300,10.900,10.500, 7.500, 9.200
03-02-2020, 8.600, 6.800,10.600, 6.300, 5.000, 8.000, 6.500, 6.800, 6.100, 7.500, 6.100, 7.000, 5.300, 6.200, 5.300, 4.000, 5.100, 6.400, 5.200, 4.300, 5.200, 5.000, 5.500, 3.600
04-02-2020, 2.700, 2.000, 3.600, 4.300, 0.300, 1.700, 2.200, 3.700, 1.000, 3.400, 3.900, 3.800, 3.900, 4.100, 4.900, 6.300, 6.200, 8.700,10.200,11.800,10.200, 6.500, 7.700, 8.000
05-02-2020, 7.900, 7.400, 8.200, 6.700, 7.000, 6.900, 9.400,13.100,13.900,13.700,14.800,12.200, 5.700, 3.300, 8.500,10.200,10.800,16.000,29.200,28.200,22.300,24.900,26.700,20.100
06-02-2020,13.500, 9.500, 7.300,10.000, 6.200, 7.700, 8.900,10.100,11.400,12.300,16.500,      ,15.300,14.700,14.400,15.500,13.700,22.200,19.100,19.200,23.400,28.400,25.600,24.800
07-02-2020,22.800,21.700,22.600,23.600,26.100,25.600,25.800,32.300,33.000,34.600,22.300,19.700,14.400,13.700,12.400,12.700,15.100,18.200,15.800,12.300,18.000,14.900,17.300,17.500
08-02-2020,16.900,16.000,12.600, 9.500, 6.100, 4.300, 4.400, 5.100, 3.600, 4.400, 6.300,-2.500, 3.100, 2.400, 5.300, 6.500, 6.700, 5.200, 5.000, 8.200, 4.400, 5.400, 4.300, 5.900
09-02-2020, 5.800, 6.700, 3.600, 8.200, 6.200, 0.700, 8.000, 2.900, 2.800, 0.200, 3.300, 1.600, 0.400, 3.900,-0.400, 3.700, 3.100, 2.000, 3.500, 2.700, 8.400, 8.100,11.900,12.100
10-02-2020, 9.000, 1.800, 5.300, 0.300, 0.900, 4.100, 4.600, 5.000, 4.500, 7.600, 7.000, 4.900, 5.600, 2.900, 1.600, 2.700, 2.400, 1.900, 4.500,-1.500, 0.700, 3.400, 3.700, 2.800
11-02-2020, 4.600, 5.200, 5.300, 6.600, 3.800, 6.000, 4.700, 3.800, 5.700, 4.000, 5.500, 4.800, 5.800, 4.200, 3.100, 3.400, 2.600, 4.200, 5.300, 5.200, 5.200, 3.200, 5.100, 4.600
12-02-2020, 2.200, 2.000, 3.700, 3.500, 2.300, 2.800, 2.100, 3.200, 3.100, 3.100, 2.700, 2.700, 5.600, 6.800, 4.100, 4.800, 3.700, 5.300, 7.800, 7.400, 6.500, 4.200, 2.200, 1.600
13-02-2020, 3.200, 2.700, 1.400, 1.500,      ,-1.000, 8.200, 1.500, 4.900, 7.200, 6.700, 4.200, 3.700, 3.300, 3.500, 2.000, 1.800, 4.900, 3.900, 4.300, 4.600, 4.900, 5.400, 4.200
14-02-2020, 2.400, 3.500, 2.700, 9.800, 3.800, 9.200, 6.200, 5.600, 8.800, 5.600, 5.100, 5.400, 9.000, 8.500, 7.300,11.600,11.400, 8.900, 7.900,10.500, 9.000, 9.200,10.100, 7.100
15-02-2020, 6.500, 3.400, 3.900, 3.400, 3.200, 3.900, 2.100, 3.800, 5.200, 4.200, 4.700, 4.900, 7.000, 4.600, 7.000, 1.600, 2.800, 2.500, 2.400, 2.300, 3.000, 0.900,-0.200, 2.200
16-02-2020, 3.700, 0.500, 2.000,-0.700, 1.300, 0.500,-1.300, 2.900, 1.000, 0.700,-1.500, 1.300, 3.900, 0.500,-4.300, 1.000, 0.400, 0.600, 3.600, 3.900, 5.600, 2.000, 2.600, 5.000
17-02-2020, 2.700, 7.400, 8.000, 9.600, 6.700, 6.300, 5.200, 6.400, 3.300, 4.100, 4.800, 7.500, 6.400, 5.500, 1.600, 4.300, 5.200, 5.600, 4.400, 3.500, 4.700, 3.200, 3.500, 5.400
18-02-2020, 5.300, 4.800, 3.500, 3.500, 3.100, 3.200, 3.800, 4.100, 2.500, 3.600, 4.200, 4.500, 4.000, 3.600, 4.600, 8.300, 2.300, 5.400, 3.000, 1.300, 3.000, 7.300, 7.900, 0.700
19-02-2020, 3.500, 2.100, 0.700, 2.000, 2.800, 2.800, 4.600, 4.300, 4.600, 4.600, 7.200, 7.800, 4.100, 5.600, 5.700, 6.800, 5.900, 6.800, 5.300, 6.400, 5.100, 4.100, 4.700, 5.400
20-02-2020, 2.800, 3.900, 3.600, 1.900, 2.600, 2.300, 4.100, 2.400, 2.200, 2.300, 2.000, 2.000, 2.100, 9.500, 5.200,-1.300, 5.300, 1.500, 1.700, 4.100, 3.300, 4.400, 3.600, 6.300
