   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2021,39.552,52.359,20.920,15.943,17.076,19.127,22.005,21.627,20.590,20.448,18.491,21.344,23.302,27.995,30.354,30.519,32.264,34.481,42.736,36.250,16.557,11.934,10.873,10.000
02-01-2021, 8.962, 8.726, 7.925, 8.019, 7.618, 7.877, 7.406, 5.991, 4.882, 3.019, 2.712, 2.453, 2.807, 3.750, 3.632, 2.712, 5.590, 7.665,10.708,10.778,11.580,10.920,12.146,20.000
03-01-2021,11.769, 6.462, 5.684, 4.976, 5.071, 8.821,11.061,10.094, 8.703, 7.311, 5.708, 5.212, 4.646, 4.222, 3.231, 3.396, 4.646, 5.896, 6.179, 6.368, 9.293, 9.811, 6.958, 7.076
04-01-2021, 3.986, 3.066, 4.670, 4.646, 3.821, 3.349, 3.325, 3.491, 3.821, 3.349, 4.057, 3.396, 4.434, 4.033, 3.349, 3.325, 3.231, 2.948, 3.255, 4.104, 3.255, 3.420, 3.679, 3.231
05-01-2021, 2.925, 2.877, 2.359, 2.547, 2.453, 2.500, 2.925, 3.019, 3.325, 3.632, 4.009, 4.198, 3.396, 3.491, 2.995, 1.863, 1.439, 2.193, 3.750, 5.189, 5.401, 4.481, 4.222, 3.042
06-01-2021, 2.382, 2.712, 2.429, 2.288, 2.311, 2.995, 3.726, 4.599, 5.472, 6.109, 6.038, 4.646, 4.198, 5.024, 5.024, 6.462, 5.920, 5.660, 6.675, 8.726, 7.406, 7.877, 7.028, 7.524
07-01-2021, 9.859,11.863,12.099,12.193,13.113,14.599,15.425,15.543,14.528,16.250,17.689,17.760,15.071,15.071,19.175,19.764,21.698,22.359,23.066,25.236,24.340,23.208,23.491,21.722
08-01-2021,22.807,33.632,29.340,22.005,20.330,20.873,21.981,21.156,22.618,23.043,26.368,24.528,20.000,15.991,16.085,17.948,16.274,17.476,22.618,20.354,20.543,21.745,21.722,19.576
09-01-2021,15.802,10.330, 9.434, 8.986, 9.576, 8.821, 9.033,11.250,11.840,10.283,12.288,14.599,16.486,16.038,18.609,20.590,23.396,30.778,36.840,38.845,51.628,43.656,41.014,27.288
10-01-2021,20.566,17.948,16.793,14.929,14.882,15.778,15.448,13.632,15.613,16.462,14.127,15.613,16.580,18.349,19.717,20.849,21.627,22.146,22.948,21.651,18.986,15.307,11.415, 8.939
11-01-2021, 9.363,10.991,14.127,14.576,11.840, 7.783, 5.236, 4.340, 2.618, 2.877, 3.302, 3.325, 3.302, 2.712, 2.264, 1.722, 1.675, 2.241, 2.382, 2.783, 2.524, 2.547, 2.311, 1.863
