"","count_point_id","direction_of_travel","year","count_date","hour","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","easting","northing","latitude","longitude","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","hgvs_2_rigid_axle","hgvs_3_rigid_axle","hgvs_4_or_more_rigid_axle","hgvs_3_or_4_articulated_axle","hgvs_5_articulated_axle","hgvs_6_articulated_axle","all_hgvs","all_motor_vehicles"
"1",28795,"N",2018,"2018-06-29","07:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,6,27,544,16,202,35,5,2,4,3,5,54,843
"2",28795,"N",2018,"2018-06-29","08:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,3,14,601,13,260,29,10,11,8,9,10,77,965
"3",28795,"N",2018,"2018-06-29","09:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,2,14,522,10,243,35,14,11,1,10,7,78,867
"4",28795,"N",2018,"2018-06-29","10:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,0,11,548,12,277,59,26,14,5,6,14,124,972
"5",28795,"N",2018,"2018-06-29","11:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,5,26,654,10,291,44,24,10,7,9,6,100,1081
"6",28795,"N",2018,"2018-06-29","12:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,1,22,707,11,339,40,15,20,5,15,10,105,1184
"7",28795,"S",2018,"2018-06-29","13:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,0,8,415,8,215,18,3,8,4,5,8,46,692
"8",28795,"S",2018,"2018-06-29","14:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,1,16,408,8,205,17,2,7,2,5,7,40,677
"9",28795,"S",2018,"2018-06-29","15:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,2,25,636,11,237,18,3,10,7,5,6,49,958
"10",28795,"S",2018,"2018-06-29","16:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,1,13,691,9,306,16,3,8,3,4,5,39,1058
"11",28795,"S",2018,"2018-06-29","17:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,2,13,667,8,262,14,2,8,2,3,2,31,981
"12",28795,"S",2018,"2018-06-29","18:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,2,22,778,9,286,13,2,6,7,2,7,37,1132
"13",28795,"S",2018,"2018-06-29","07:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,8,28,888,4,355,59,14,26,22,12,7,140,1415
"14",28795,"S",2018,"2018-06-29","08:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,10,32,897,5,348,57,15,21,6,22,4,125,1407
"15",28795,"S",2018,"2018-06-29","09:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,8,38,794,13,388,32,16,20,5,9,6,88,1321
"16",28795,"S",2018,"2018-06-29","10:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,5,21,728,12,310,48,4,8,6,7,10,83,1154
"17",28795,"S",2018,"2018-06-29","11:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,1,9,547,8,246,33,12,21,6,5,7,84,894
"18",28795,"S",2018,"2018-06-29","12:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,1,11,465,6,222,21,6,9,8,5,6,55,759
"19",28795,"N",2018,"2018-06-29","13:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,5,22,869,11,346,54,14,17,7,12,9,113,1361
"20",28795,"N",2018,"2018-06-29","14:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,1,21,842,16,303,51,9,7,3,12,12,94,1276
"21",28795,"N",2018,"2018-06-29","15:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,4,22,871,12,282,43,3,9,3,11,7,76,1263
"22",28795,"N",2018,"2018-06-29","16:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,4,37,994,10,322,46,4,6,9,6,4,75,1438
"23",28795,"N",2018,"2018-06-29","17:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,14,42,1059,11,321,23,3,2,4,2,3,37,1470
"24",28795,"N",2018,"2018-06-29","18:00:00",6,"London",121,"Enfield","A1055","Major",535150,191980,51.610438,-0.04959783,7,63,1101,12,246,15,1,2,0,2,0,20,1442
"25",18467,"W",2018,"2018-10-30","07:00:00",6,"London",93,"Tower Hamlets","A3211","Major",533634,180720,51.509614,-0.07575409,209,211,358,26,355,91,14,94,2,4,3,208,1158
"26",18467,"W",2018,"2018-10-30","08:00:00",6,"London",93,"Tower Hamlets","A3211","Major",533634,180720,51.509614,-0.07575409,562,208,380,43,388,93,11,53,1,1,3,162,1181
