"","count_point_id","direction_of_travel","year","count_date","hour","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","easting","northing","latitude","longitude","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","hgvs_2_rigid_axle","hgvs_3_rigid_axle","hgvs_4_or_more_rigid_axle","hgvs_3_or_4_articulated_axle","hgvs_5_articulated_axle","hgvs_6_articulated_axle","all_hgvs","all_motor_vehicles"
"1",26824,"E",2020,"2020-04-28","07:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,5,341,8,177,21,2,3,2,1,4,33,564
"2",26824,"E",2020,"2020-04-28","08:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,4,379,11,138,17,6,3,0,0,3,29,561
"3",26824,"E",2020,"2020-04-28","09:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,4,373,10,191,45,2,6,0,0,0,53,631
"4",26824,"E",2020,"2020-04-28","10:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,5,331,8,159,23,4,7,1,0,4,39,542
"5",26824,"E",2020,"2020-04-28","11:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,8,349,6,163,24,4,9,0,0,4,41,567
"6",26824,"E",2020,"2020-04-28","12:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,19,440,6,141,27,1,6,1,0,5,40,646
"7",26824,"W",2020,"2020-04-28","13:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,14,432,6,152,30,1,4,0,0,3,38,642
"8",26824,"W",2020,"2020-04-28","14:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,1,17,410,6,129,26,1,7,1,1,2,38,600
"9",26824,"W",2020,"2020-04-28","15:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,10,460,6,152,18,3,8,0,2,0,31,659
"10",26824,"W",2020,"2020-04-28","16:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,12,504,6,131,16,0,1,1,0,1,19,672
"11",26824,"W",2020,"2020-04-28","17:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,13,461,5,135,12,0,2,0,0,0,14,628
"12",26824,"W",2020,"2020-04-28","18:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,10,410,6,67,8,0,1,0,0,1,10,503
"13",26824,"W",2020,"2020-04-28","07:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,10,486,7,149,21,4,5,2,0,2,34,686
"14",26824,"W",2020,"2020-04-28","08:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,1,5,415,7,151,16,4,9,0,1,1,31,609
"15",26824,"W",2020,"2020-04-28","09:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,4,314,8,157,15,7,6,0,0,5,33,516
"16",26824,"W",2020,"2020-04-28","10:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,5,328,6,130,24,6,4,3,0,5,42,511
"17",26824,"W",2020,"2020-04-28","11:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,5,374,8,126,33,11,11,0,0,6,61,574
"18",26824,"W",2020,"2020-04-28","12:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,7,395,6,132,33,2,5,1,0,7,48,588
"19",26824,"E",2020,"2020-04-28","13:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,24,465,6,136,24,1,7,1,2,3,38,669
"20",26824,"E",2020,"2020-04-28","14:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,21,511,5,136,19,6,3,0,0,2,30,703
"21",26824,"E",2020,"2020-04-28","15:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,22,525,8,129,19,1,4,1,0,2,27,711
"22",26824,"E",2020,"2020-04-28","16:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,16,617,6,127,13,1,2,0,0,4,20,786
"23",26824,"E",2020,"2020-04-28","17:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,0,23,618,6,121,12,1,0,0,0,2,15,783
"24",26824,"E",2020,"2020-04-28","18:00:00",6,"London",134,"Croydon","A232","Major",532393,165234,51.37074,-0.09941207,1,16,505,6,77,11,0,0,0,0,0,11,615
"25",17021,"E",2020,"2020-05-20","07:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,8,34,1557,7,640,83,11,21,7,2,29,153,2391
"26",17021,"E",2020,"2020-05-20","08:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,10,27,1475,14,447,101,12,35,8,5,40,201,2164
"27",17021,"E",2020,"2020-05-20","09:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,4,23,1343,15,523,149,19,32,5,7,49,261,2165
"28",17021,"E",2020,"2020-05-20","10:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,9,30,1440,18,506,144,18,29,10,5,50,256,2250
"29",17021,"E",2020,"2020-05-20","11:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,2,27,1523,13,567,130,16,31,6,5,45,233,2363
"30",17021,"E",2020,"2020-05-20","12:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,5,29,1510,12,533,163,10,21,6,7,50,257,2341
"31",17021,"W",2020,"2020-05-20","13:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,13,26,1539,11,430,102,8,21,2,6,30,169,2175
"32",17021,"W",2020,"2020-05-20","14:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,12,32,1544,12,404,85,11,12,7,8,23,146,2138
"33",17021,"W",2020,"2020-05-20","15:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,11,40,1606,14,410,68,12,13,4,7,23,127,2197
"34",17021,"W",2020,"2020-05-20","16:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,5,42,1736,10,386,49,3,3,2,2,9,68,2242
"35",17021,"W",2020,"2020-05-20","17:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,11,49,1708,11,328,43,5,1,4,4,15,72,2168
"36",17021,"W",2020,"2020-05-20","18:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,7,41,1708,12,250,29,1,0,4,2,7,43,2054
"37",17021,"W",2020,"2020-05-20","07:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,10,33,991,9,431,88,8,29,6,4,45,180,1644
"38",17021,"W",2020,"2020-05-20","08:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,7,23,1229,13,551,113,13,14,12,6,27,185,2001
"39",17021,"W",2020,"2020-05-20","09:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,2,29,1223,14,599,126,10,35,5,3,46,225,2090
"40",17021,"W",2020,"2020-05-20","10:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,3,27,1255,17,511,101,5,26,8,6,52,198,2008
"41",17021,"W",2020,"2020-05-20","11:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,2,20,1425,13,523,119,16,19,3,8,44,209,2190
"42",17021,"W",2020,"2020-05-20","12:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,13,33,1476,12,416,105,9,21,4,5,47,191,2128
"43",17021,"E",2020,"2020-05-20","13:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,6,37,1644,10,572,142,12,22,2,6,51,235,2498
"44",17021,"E",2020,"2020-05-20","14:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,7,43,1747,13,591,115,10,30,4,2,30,191,2585
"45",17021,"E",2020,"2020-05-20","15:00:00",6,"London",121,"Enfield","A406","Major",531830,192500,51.615898,-0.09732012,10,36,1734,12,654,94,7,19,3,5,26,154,2590
