   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2022,11.887,11.014,10.377,10.189, 7.736, 6.627, 7.429, 7.311, 6.722, 6.486, 7.264, 8.326, 9.293,10.684,11.934,11.392,14.222,12.901,13.373,13.443,13.726,13.703,13.302,10.896
02-01-2022, 4.269, 4.693, 4.929, 4.057, 2.972, 4.505, 2.052, 2.075, 2.359, 2.099, 1.981, 2.146, 2.382, 3.844, 4.340, 2.241, 2.783, 3.231, 3.703, 3.821, 3.656, 5.000, 7.759, 9.222
03-01-2022, 9.198, 9.198, 8.585, 8.373, 8.042, 8.042, 9.576,10.425, 9.009, 5.259, 3.750, 4.434, 5.165, 5.212, 5.024, 5.307, 6.061, 8.326, 8.160, 7.830, 7.382, 7.311, 7.193, 7.052
04-01-2022, 6.580, 6.344, 5.920, 6.109, 6.462, 6.533, 6.226, 6.344, 6.109, 4.575, 0.778, 1.109, 1.981, 2.406, 3.302, 3.467, 4.033, 5.330, 6.580, 7.995, 7.618, 5.943, 4.505, 4.175
05-01-2022, 4.316, 4.127, 3.986, 4.009, 4.575, 4.811, 4.646, 4.788, 4.929, 5.118, 5.660, 5.826, 6.085, 5.613, 4.929, 5.637, 6.439, 7.288, 9.410, 8.868, 9.882,15.826,12.264,12.217
06-01-2022,12.665,13.373,12.335,10.943, 9.505, 9.717,10.000, 9.222, 9.646,10.684,11.109, 6.816, 8.726, 8.962, 7.241, 6.557, 4.953, 5.778, 4.882, 2.170, 1.014, 1.415, 3.373, 4.175
07-01-2022, 1.486, 2.335, 3.632, 4.363, 3.609, 2.146, 2.075, 2.146, 2.217, 2.571, 2.618, 3.113, 3.467, 3.656, 5.047, 5.377, 2.500, 2.547, 3.726, 4.505, 5.849, 6.792, 7.736, 9.882
08-01-2022,10.991, 9.340, 6.745, 5.708, 4.458, 3.797, 4.292, 5.873, 6.604, 6.910, 5.000, 2.571, 1.698, 1.344, 1.274, 2.901, 5.236, 7.052, 8.113, 9.222, 6.156, 4.646, 5.118, 4.741
09-01-2022, 5.000, 5.047, 5.047, 5.142, 5.307, 5.354, 5.189, 5.094, 5.283, 6.061, 5.873, 5.495, 5.165, 5.354, 5.283, 5.731, 9.835,11.392,13.373,25.849,20.637,18.113,23.090,20.967
10-01-2022,17.288,17.241,15.142,15.071,14.505,13.302,12.429,12.170,11.958,10.967,14.906,13.420,13.160,11.486,11.203,10.472,10.495,10.920,10.920,10.495, 9.552, 7.783, 6.863, 9.009
11-01-2022,11.698,11.958,11.415, 7.123, 5.330, 4.316, 3.113, 4.835, 4.434, 3.491, 4.976, 5.259, 4.410, 5.165, 8.797, 9.387, 6.486, 5.896, 7.948,10.755,12.759,12.972,12.783,12.901
12-01-2022,12.524,14.505,14.458,12.830,12.241, 9.693, 5.307, 5.401, 6.085, 6.863,10.660,14.670,16.250,16.627,15.495,12.429,11.203,11.321, 9.788, 8.750,16.014,17.642,20.731,21.557
13-01-2022,17.948,18.090,18.609,18.609,16.344,16.675,15.778,16.392,17.830,16.863,22.264,18.986,19.057,14.646,14.363,15.778,13.373,26.250,19.788,23.444,21.580,23.184,24.245,26.698
14-01-2022,27.477,23.066,24.151,24.222,22.288,20.920,23.043,22.901,21.816,24.670,29.387,44.953,42.595,37.995,31.981,30.071,29.528,33.491,39.340,36.580,39.151,43.727,40.330,36.840
15-01-2022,31.533,23.585,26.132,25.307,30.000,24.835,21.769,20.778,17.264,15.047,16.816,19.127,21.604,23.868,25.684,25.401,26.014,25.024,25.354,26.863,29.127,31.179,35.330,32.359
16-01-2022,28.467,27.477,27.005,22.854,19.741,20.212,18.892,14.976,14.151,13.844,11.509, 9.882,10.543,13.184,15.448,13.160,14.646,20.849,20.778,22.005,20.071,12.028, 8.656, 8.797
17-01-2022, 8.208, 7.193, 6.816, 6.226, 5.967, 5.590, 3.656, 4.245, 5.094, 7.500,      ,10.637,10.377,11.085,12.005,13.090,11.274,10.401, 9.764,15.660,26.038,23.184,26.179,25.425
18-01-2022,19.458,21.274,22.995,24.363,24.198,23.632,22.406,23.043,22.547,26.038,27.736,40.684,24.293,20.354,19.623,18.160,20.142,27.217,26.745,29.104,23.467,25.212,26.392,23.373
19-01-2022,19.363,19.269,19.269,19.670,17.594,11.604, 9.387,10.802,11.486,12.123,12.335,10.495, 7.193, 7.429, 7.335, 5.071, 5.802, 6.557, 7.005, 7.359, 8.491, 8.726, 7.406, 8.326
20-01-2022, 8.443, 9.906, 5.377, 5.755, 4.764, 5.731, 6.274, 6.627, 9.788,15.802, 7.689, 6.675, 5.849, 5.000, 4.646, 5.330, 6.061, 6.769, 9.576, 9.788, 9.033, 8.774, 8.373, 8.113
21-01-2022, 8.184, 7.524, 6.745, 6.934, 6.580, 6.698, 7.076, 7.877, 8.821,12.995,15.731,17.618,14.576,10.425, 8.042, 9.293,10.047,10.354,11.769,12.241,12.901,13.915,13.986,11.109
22-01-2022, 9.481, 9.033, 8.609, 8.113, 8.066, 7.288, 7.429, 8.396, 8.184, 8.561,10.637,12.476,13.679,13.090,12.076,11.392,12.170,13.066,15.731,18.160,19.269,20.991,18.255,18.939
23-01-2022,14.458,12.712,12.453,11.297,10.920,11.722,12.995,12.972,14.104,15.118,17.476,18.679,15.778,16.109,16.533,17.335,18.019,16.816,18.043,23.868,21.651,14.222,13.962,13.208
24-01-2022,13.750,14.623,16.203,16.981,16.392,17.005,17.429,18.326,19.010,20.260,17.948,19.033,19.363,19.953,21.227,22.005,22.783,24.410,26.179,28.514,28.774,28.019,26.061,25.566
25-01-2022,27.194,26.816,27.288,25.684,26.557,26.203,23.774,24.363,25.260,24.599,25.543,25.165,26.486,25.849,18.844,14.788,20.212,25.047,25.708,18.160,18.915,20.684,22.689,24.929
26-01-2022,24.670,24.953,24.576,24.104,23.609,22.830,20.755,19.363,19.434,19.977,21.297,21.179,14.929,11.580,13.278,22.477,19.033,17.406,15.448,14.788,18.090,19.458,19.104,16.580
27-01-2022,14.882,13.467,11.509, 9.906, 8.679, 7.689, 7.076, 6.038, 5.118, 5.118, 5.566, 4.104, 3.113, 3.090, 3.915, 4.882, 4.882, 7.311, 5.259, 9.599, 7.854, 7.783, 8.326, 9.717
28-01-2022,10.896, 9.929, 7.854, 7.076, 7.712, 7.594, 7.948, 8.915, 8.585, 9.222,11.392,13.844, 8.278, 7.052, 7.736, 6.132, 7.618, 8.255, 6.014, 5.330, 5.212, 5.094, 5.259, 5.024
29-01-2022, 3.609, 1.981, 1.368, 0.920, 0.991, 1.038, 0.778, 0.566, 0.590, 0.943, 1.274, 1.509, 1.792, 1.958, 2.335, 3.208, 3.679, 6.392, 9.387,10.943,11.297,10.802,10.142, 9.434
30-01-2022, 8.255, 7.642, 6.840, 6.392, 6.958, 5.637, 5.943, 5.590, 7.264, 8.278, 9.576,10.236, 9.623, 9.057, 8.443, 7.382, 7.217,10.543,10.236, 9.741, 9.458, 8.821, 6.061, 3.656
31-01-2022, 1.863, 2.335, 3.420, 3.703, 3.774, 4.198, 4.528, 4.670, 4.575, 5.991,      ,      ,      ,      , 4.599, 4.906, 5.660, 8.302, 8.184, 7.618, 5.920, 6.486, 7.146, 7.028
01-02-2022, 5.920, 5.165, 6.132, 8.396, 8.962, 7.901, 6.368, 4.859, 3.915, 2.925, 2.689, 2.594, 2.217, 2.453, 2.453, 1.509, 1.675, 3.349, 1.486, 1.769, 2.736, 2.807, 3.042, 4.245
02-02-2022, 4.528, 4.976, 4.481, 3.868, 4.717, 3.538, 2.736, 2.618, 3.491, 2.901, 2.005, 1.816, 2.901, 3.278, 2.241, 2.807, 4.033, 4.717, 6.132, 7.052, 9.151, 6.109, 4.646, 5.071
03-02-2022, 5.778, 6.863, 6.179, 6.132, 5.047, 3.726, 2.264, 2.170, 2.193, 2.429, 2.264, 2.311, 2.288, 2.453, 1.887, 3.325, 4.481, 4.835, 3.443, 4.033, 6.038, 5.967, 4.127, 3.231
04-02-2022, 2.453, 2.311, 2.594, 2.759, 3.255, 4.175, 5.283, 5.967, 5.094, 1.132, 1.368, 1.958, 1.698, 2.264, 2.830, 2.972, 2.665, 2.830, 4.009, 4.505, 5.684, 6.533, 5.991, 5.637
05-02-2022, 4.198, 3.797, 3.632, 3.349, 3.561, 3.750, 3.821, 4.269, 4.976, 5.708, 5.118, 4.646, 7.264, 8.491, 3.561, 3.679, 4.976, 5.047, 6.156, 7.028, 6.203, 6.132, 5.684, 5.330
06-02-2022, 4.741, 4.033, 3.420, 3.443, 3.514, 3.042, 2.146, 1.863, 2.146, 1.745, 0.660, 0.778, 1.863, 3.396, 2.241, 1.604, 1.698, 1.816, 1.816, 2.925, 4.292, 4.575, 5.472, 5.896
07-02-2022, 6.816, 7.099, 6.722, 6.604, 6.344, 5.943, 5.307, 5.660, 6.038, 8.349, 8.609, 8.962, 7.052, 6.533, 6.627, 6.061, 6.934, 7.547, 6.580, 7.311, 8.042, 4.434, 2.217, 2.146
08-02-2022, 2.429, 2.123, 1.958, 2.099, 2.311, 2.453, 2.571, 2.642, 2.500, 2.830, 2.712, 2.524, 2.099, 2.075, 1.958, 2.311, 2.759, 3.137, 3.514, 4.458, 3.679, 2.500, 2.406, 1.887
09-02-2022, 2.288, 2.193, 2.642, 1.627, 1.250, 1.014, 2.028, 1.486, 1.604, 2.476, 3.632, 2.807, 3.090, 2.877, 3.019, 2.901, 2.807, 3.373, 4.057, 6.274, 6.651, 6.698, 4.693, 5.212
10-02-2022, 5.708, 4.222, 2.170, 2.429, 2.665, 3.278, 3.750, 3.774, 3.750, 3.915, 4.127, 3.774, 3.868, 3.892, 4.009, 3.962, 4.057, 4.292, 5.094, 5.283, 5.826, 6.840, 6.533, 6.156
11-02-2022, 5.755, 4.859, 5.118, 4.859, 4.552, 4.717, 4.363, 5.118, 6.014, 7.359, 8.396,10.071, 6.745, 6.792, 6.910, 5.849, 5.920, 6.486, 6.533, 7.783, 9.198,11.722,11.392,11.981
12-02-2022,11.321, 9.528, 6.981, 6.462, 6.675, 6.415, 6.156, 6.109, 6.321, 6.250, 6.486, 5.778, 5.142, 4.670, 5.495, 6.486, 6.863, 7.524, 8.679, 7.642, 8.113,10.425,12.123,12.052
13-02-2022,12.759,12.524,10.401, 8.821, 8.892, 9.127, 7.453, 6.415, 5.920, 6.863, 8.349, 8.066, 8.042, 7.028, 6.816, 5.307, 4.835, 4.693, 4.033, 3.703, 3.373, 2.618, 1.863, 1.627
14-02-2022, 1.297, 1.792, 2.854, 2.382, 2.241, 1.958, 2.146, 2.123, 2.547, 3.160, 2.807, 2.547, 2.005, 1.604, 2.123, 2.028, 1.792, 1.203, 2.028, 2.665, 2.406, 2.500, 2.500, 3.090
15-02-2022, 3.137, 3.278, 3.255, 3.349, 3.679, 3.420, 3.962, 4.859, 5.401, 6.109, 6.274, 5.377, 4.033, 2.972, 2.193, 1.958, 2.170, 3.632, 4.458, 4.434, 5.967, 6.675, 7.618, 7.736
16-02-2022, 6.462, 2.453, 0.991, 0.967, 0.637, 0.377, 0.778, 5.495,10.024,11.934,12.759, 8.420, 4.859, 4.623, 2.288, 1.509, 1.580, 2.075, 0.920, 0.731, 2.075, 2.571, 8.467,14.033
17-02-2022,16.604,18.420,18.373,18.585,15.802,13.656,10.802, 8.939, 8.797, 6.109, 5.684, 4.599, 4.953, 5.613, 5.377, 4.599, 4.269, 6.533, 8.632, 8.750, 8.538, 9.481, 9.198,11.439
18-02-2022,13.443,14.953, 6.934, 1.344, 0.920, 0.684, 0.472, 3.042,10.873,13.019,11.392,12.547, 7.972, 4.458, 2.311, 3.538, 4.623, 7.005, 3.679, 3.656, 4.292, 3.962, 3.042, 3.467
19-02-2022, 4.505, 4.811, 4.882, 3.585, 3.726, 4.057, 3.915, 4.222, 4.528, 4.717, 5.259, 6.698, 6.085, 4.009, 2.571, 2.830, 7.877, 9.175, 9.222, 9.387,10.519,11.392,10.660, 9.505
20-02-2022, 9.670, 8.302, 6.038, 5.590, 6.745, 9.198,10.283,12.547,13.868,12.665,10.495, 9.741, 8.443, 7.382,10.566, 9.953, 9.764,10.472, 5.684, 2.500, 3.325, 3.726, 4.104, 5.283
21-02-2022, 6.651, 4.953, 3.538, 3.420, 5.590, 6.462, 8.137,11.038,10.896, 9.410, 7.901, 6.934, 5.566, 4.717, 7.359, 7.571, 8.656, 8.632, 8.962, 9.623, 9.646, 8.821, 9.458, 9.410
22-02-2022, 8.986,10.448,15.047,16.981,16.793,12.736, 8.066, 6.156, 5.802, 6.226, 7.406, 8.561, 7.925, 4.882, 3.184, 3.042, 3.750, 4.741, 5.613, 5.943, 6.156,10.259, 9.505,10.071
23-02-2022,10.307, 9.576, 8.184, 5.519, 5.354, 5.448, 8.915, 8.868, 8.679,10.495, 9.528, 8.255, 5.118, 6.109, 6.863, 6.203, 5.802, 7.995, 7.264, 6.179, 5.613, 5.047, 3.703, 4.033
24-02-2022, 3.986, 3.609, 4.127, 4.458, 4.693, 4.127, 3.420, 1.863, 1.745, 0.920, 1.439, 2.170, 2.311, 1.698, 1.156, 1.344, 1.934, 2.217, 2.901, 5.708, 5.542, 6.156, 5.967, 5.189
25-02-2022, 5.118, 5.566, 6.061, 6.698, 6.580, 6.179, 6.109, 6.038, 6.439, 6.462, 5.943, 5.684, 5.236, 4.976, 4.741, 4.505, 5.071, 5.826, 7.028, 8.632,11.179,18.184,20.024,20.637
26-02-2022,21.227,18.962,18.326,14.882,10.943,10.684,11.415,12.854,12.759,11.344,10.802, 6.627, 6.533, 6.156, 6.109, 6.627, 5.000, 4.646, 7.382,11.580,12.359,10.684,10.118, 7.406
27-02-2022, 7.406, 8.467, 8.443, 8.467, 8.443, 8.514, 8.514, 8.231, 8.090, 7.783, 7.076, 6.274, 5.566, 5.330, 5.849, 6.085, 6.368, 7.264, 9.222,10.731, 9.906,10.000,10.802,11.038
28-02-2022,11.415,11.439,11.203,11.014,11.439,11.415,11.109,10.448,10.826,10.731,10.519, 9.269, 8.892, 7.665, 8.066, 8.326, 8.396, 9.009,10.377,12.642,13.396,12.335, 9.788, 7.830
01-03-2022, 6.274, 5.307, 5.519, 5.472, 3.184, 3.231, 2.052, 2.476, 2.948, 2.783, 3.986, 4.222, 3.514, 4.575, 6.675,      ,      , 6.486, 7.642, 9.175, 8.915, 7.052, 7.170, 5.401
02-03-2022, 6.792,16.745,27.311,26.580,24.811,22.453,18.113,19.552,26.344,24.057,22.028,18.797,16.274,14.363,12.877,13.609,13.113,13.774,16.156,18.679,22.429,29.080,30.684,31.179
03-03-2022,30.967,31.250,31.533,31.840,31.887,31.745,33.656,34.788,37.736,40.731,37.288,22.736,18.986, 7.877, 3.184, 2.217, 1.958, 2.854, 4.222, 8.208,13.821,17.359,10.401, 8.231
04-03-2022, 7.406, 6.981, 6.769, 7.311, 7.524, 7.901, 7.406, 7.807, 7.901, 8.774, 7.193, 7.618, 7.689, 7.382, 7.406, 7.264, 4.929, 4.434, 5.566, 8.326,10.755, 5.943, 6.698, 7.406
05-03-2022, 6.557, 4.646, 4.552, 5.330, 3.892, 4.175, 3.561, 3.632, 3.420, 3.066, 2.665, 2.807, 3.113, 4.505, 4.104, 2.877, 3.302, 3.113, 4.057,13.868,32.995,32.830,23.255,17.288
